상호,영업표지,대표자,업종,법인설립등기일,사업자등록일,대표번호,대표팩스 번호,등록번호,최초등록일,최종등록일,주소,사업자유형,법인등록번호,사업자등록번호,2020년 자산,2020년 부채,2020년 자본,2020년 매출액,2020년 영업이익,2020년 당기순이익,2019년 자산,2019년 부채,2019년 자본,2019년 매출액,2019년 영업이익,2019년 당기순이익,2018년 자산,2018년 부채,2018년 자본,2018년 매출액,2018년 영업이익,2018년 당기순이익,브랜드 수,가맹사업 계열사 수,가맹사업 개시일,2020년 신규개점,2020년 계약종료,2020년 계약해지,2020년 명의변경,2019년 신규개점,2019년 계약종료,2019년 계약해지,2019년 명의변경,2018년 신규개점,2018년 계약종료,2018년 계약해지,2018년 명의변경,"가맹지역본부(지사,지역총판)수",형태,예치 가맹금,공정거래위원회의 시정조치,민사소송 패소 및 민사상 화해,형의 선고,가입비(가맹비),교육비,보증금,기타비용,합계,단위면적(3.3㎡)당 인테리어 비용,기준점포면적(㎡),인테리어 비용,최초 계약기간,연장 계약기간
마에똥,마에똥,이진유,한식,..,2019.07.01,080  -  770  -  0011,00  -  0000  -  0000,20200871,2020.07.14,2021.04.05,우 : 38133 경상북도 경주시 한빛길10번길 51 1층,개인,  -  ,498  -  29  -  00678,0,0,0,"252,195",0,0,0,0,0,"143,711",0,0,0,0,0,0,0,0,1,0,가맹계약 체결 사실 없음,0,0,0,0,0,0,0,0,0,0,0,0,0  개,예치제,"9,900",0,0,0,"7,700","2,200",0,"38,500","48,400","1,650 ",50 ,"24,750 ",2,2
(주)금강브루어리,바이젠하우스,임성빈,기타 외식,2017.03.10,2017.07.01,042  -  1661  -  5869,042  -  367  -  4007,20160002,2016.01.05,2021.04.05,우 : 32531 충청남도 공주시 우성면 성곡길 125 127호,법인,161211  -  0038836,533  -  88  -  00658,"3,074,559","2,640,246","434,313","974,040","-369,573","-400,069","3,310,355","2,475,973","834,382","1,236,376","12,122","-10,238","3,193,563","2,348,943","844,620","2,462,749","271,029","155,901",1,0,2015  -  04  -  02,1,0,2,1,2,0,0,1,1,0,3,1,0  개,보험,"16,420",0,0,0,"11,220","2,200","3,000","99,000","115,420","1,650 ",99 ,"49,500 ",2,2
(주)로희,오늘닭강정,강덕근,치킨,2014.05.19,2014.05.20,042  -  1599  -  1303,00  -  0000  -  0000,20201639,2020.12.02,2021.04.05,우 : 34068 대전광역시 유성구 반석로12번길 7 303호(반석동),법인,140111  -  0055390,221  -  81  -  46354,"286,839","41,909","244,930","405,649","-11,268","-10,019","271,300","16,349","254,951","3,848","-60,315","-56,314","316,211","4,946","311,265",0,"-49,392","-39,254",1,0,2020  -  12  -  28,1,0,0,0,0,0,0,0,0,0,0,0,0  개,보험,"5,500",0,0,0,"3,300","2,200",0,"24,200","29,700","1,100 ",33 ,"11,000 ",1,1
똥집이야기,똥집이야기,김동기,한식,..,2017.12.12,052  -  265  -  9889,00  -  0000  -  0000,20201641,2020.12.02,2021.04.05,우 : 44678 울산광역시 남구 삼산로35번길 11 1층(신정동),개인,  -  ,890  -  23  -  00566,0,0,0,"268,819",0,0,0,0,0,"264,662",0,0,0,0,0,"271,717",0,0,1,0,가맹계약 체결 사실 없음,0,0,0,0,0,0,0,0,0,0,0,0,0  개,예치제,"13,000",0,0,0,"5,500","5,500","2,000","46,000","59,000","1,320 ",50 ,"19,800 ",2,1
(주)재이에스푸드,재성밀면,하재성,한식,2020.12.24,2021.02.01,051  -  723  -  7273,  -    -  ,20210965,2021.04.05,2021.04.05,우 : 46057 부산광역시 기장군 기장읍 차성로 413 1층,법인,180111  -  1332608,537  -  81  -  02116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019  -  03  -  12,2,0,0,0,1,0,0,0,0,0,0,0,0  개,보험,"14,000",0,0,0,"5,500","5,500","3,000","75,350","89,350","1,650 ",99 ,"49,500 ",2,2
(주)티아이컴퍼니(T.I.COMPANY),8선곱창전골,김태일,한식,2019.12.30,2020.01.01,051  -  747  -  1207,  -    -  ,20210966,2021.04.05,2021.04.05,"우 : 47325 부산광역시 부산진구 냉정로253번길 24 1층(가야동, 협동물산)",법인,180111  -  1259919,402  -  87  -  01598,0,0,0,"25,065",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020  -  09  -  07,4,0,0,0,0,0,0,0,0,0,0,0,0  개,보험,"9,700",0,0,0,"5,500","2,200","2,000","46,200","55,900","2,200 ",33 ,"22,000 ",2,2
집으로낙곱새,집으로낙곱새,김지나,한식,..,2019.04.04,055  -  338  -  2322,055  -  338  -  2322,20200521,2020.04.17,2021.04.05,우 : 50862 경상남도 김해시 진영읍 김해대로335번길 8-1 101호 정우빌,개인,  -  ,483  -  31  -  00698,0,0,0,"542,140",0,0,0,0,0,"87,610",0,0,0,0,0,0,0,0,1,0,2020  -  02  -  26,13,0,0,1,0,0,0,0,0,0,0,0,0  개,예치제,"25,000",0,0,0,"16,500","5,500","3,000","30,283","55,283","1,210 ",33 ,"12,100 ",2,2
(주)나르텍,와우소갈비,황정훈,한식,2014.02.28,2014.03.04,02  -  6239  -  3100,02  -  6239  -  3125,20210964,2021.04.05,2021.04.05,우 : 10931 경기도 파주시 시청로 149 1층,법인,110111  -  5353381,119  -  86  -  84574,0,0,0,0,0,0,"420,123","718,913","-298,790","40,653","-7,369","-19,077","413,173","692,886","-279,713","43,600","-20,629","-29,321",1,0,가맹사업 준비중,0,0,0,0,0,0,0,0,0,0,0,0,0  개,보험,"22,000",0,0,0,"16,500","5,500",0,"127,600","149,600","1,283 ",198 ,"77,000 ",2,1
제이에스컴퍼니,도레미치킨,김성환,치킨,..,2019.11.20,00  -  1670  -  4310,031  -  573  -  0920,20191341,2019.12.10,2021.04.05,"우 : 12097 경기도 남양주시 별내3로 402 1동 6층 606호 (별내동, 블루오션빌내주건축물)",개인,  -  ,530  -  03  -  01549,0,0,0,"176,289",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,가맹계약 체결사실 없음,0,0,0,0,0,0,0,0,0,0,0,0,0  개,예치제,"8,600",0,0,0,"3,300","3,300","2,000","16,500","25,100","1,100 ",50 ,"16,500 ",2,1
(주)에스에이치리테일,슈퍼사이즈커피,박성현,커피,2006.02.27,2006.03.06,051  -  1544  -  8340,051  -  636  -  1001,20140913,2014.09.30,2021.04.05,우 : 48742 부산광역시 동구 자성로133번길 10 (범일동),법인,180111  -  0547472,605  -  81  -  76454,"683,633","844,866","-161,233","1,302,143","-141,445","-121,444","1,315,191","1,354,979","-39,788","3,047,551","-73,882","11,263","1,395,463","1,446,514","-51,051","3,682,565","88,128","157,467",1,0,2014  -  10  -  08,1,0,3,1,0,0,1,0,1,1,5,1,0  개,예치제,"10,800",0,0,0,"5,500","3,300","2,000","35,610","46,410","1,980 ",20 ,"11,880 ",2,1
