업종,브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,"가맹점
평균매출액","가맹점
면적(3.3㎡)당
평균매출액"
분식,선비꼬마김밥,(주)와이엔비푸드,64,22,0,0,2,"227,305","20,762"
분식,봄날떡볶이,쿠잉에프엔씨(CooingF&C),0,0,0,0,0,0,0
분식,월매뜨레 멸치국수·초김밥,(주)한상차림코다리명가,0,0,0,0,0,0,0
분식,알떡,알찬떡볶이,0,0,0,0,0,0,0
분식,떡슐랭,(주)윌비코퍼레이션,2,2,0,0,0,0,0
분식,내 성격같은 떡볶이,유와이프랜드,0,0,0,0,0,0,0
분식,hcs,(주)해피치즈스마일,0,0,0,0,0,0,0
분식,신난당,(주)서현리테일,0,0,0,0,0,0,0
분식,요맛나분식,(주)마스터아이디,0,0,0,0,0,0,0
분식,강다짐,명랑시대외식청년창업협동조합,0,0,0,0,0,0,0
분식,조아라닭강정&떡볶이,(주)굿데이푸드,0,0,0,0,0,0,0
분식,빨칙한고양이의 믹스떡볶이,빨칙한고양이의믹스떡볶이,0,0,0,0,0,0,0
분식,마음한줄,(주)마음에프엔씨,0,0,0,0,0,0,0
분식,닥치고 푸드,닥치고푸드,0,0,0,0,0,0,0
분식,왕돈까스&왕냉면,(주)오래오래푸드,1,1,0,0,0,0,0
분식,컨테이너피플,(주)고민하는사람들,0,0,0,0,0,0,0
분식,스쿨푸드,(주)에스에프이노베이션,59,13,4,10,5,"765,455","25,317"
분식,스쿨푸드,(주)에스에프이노베이션,59,13,4,10,5,"765,455","25,317"
분식,스쿨푸드,(주)에스에프이노베이션,59,13,4,10,5,"765,455","25,317"
분식,스쿨푸드,(주)에스에프이노베이션,59,13,4,10,5,"765,455","25,317"
분식,담쏙,(주)다옴케이,0,0,0,0,0,0,0
분식,수제돈까스연승,승승그룹(주),0,0,0,0,0,0,0
분식,김영달의 만두꽃이야기,김영달푸드,0,0,0,0,0,0,0
분식,상아김밥,(주)상아에프앤씨,0,0,0,0,0,0,0
분식,팔팔분식당,다우에프앤비(주),0,0,0,0,0,0,0
분식,신순애우동,신순애우동,0,0,0,0,0,0,0
분식,사담손만두,(주)제이에이치푸드시스템,8,9,0,1,1,"710,285","8,237"
분식,오늘은마떡,마약떡복이,0,0,0,0,0,0,0
분식,내가진짜떡볶이다,(주)진짜푸드,26,20,0,4,1,"264,885","59,518"
분식,6.25떡볶이,6.25떡볶이,0,0,0,0,0,0,0
분식,찡떡,찡떡에프앤비,7,7,0,0,0,"327,332","37,056"
분식,분식제일가,(주)소디프비앤에프,0,0,0,0,0,0,0
분식,The 청춘키친,청춘컴퍼니,0,0,0,0,0,0,0
분식,불굴의떡볶이,(유)에브라임이노베이션,0,0,0,0,0,0,0
분식,오붕떡볶이,(주)왕순이,0,0,0,0,0,0,0
분식,응급실국물떡볶이,(주)금해코리아,221,121,0,4,12,"289,120","23,316"
분식,카레로(路),(주)와이더잇,0,0,0,0,0,0,0
분식,지단분식,(주)지누코,0,0,0,0,0,0,0
분식,칠성떡볶이,(주)에쓰와이프랜차이즈,0,0,0,0,0,0,0
분식,평화면옥,(주)쉐프마인드,0,0,0,0,0,0,0
분식,꽈르띠에,(주)한빛,0,0,0,0,0,0,0
분식,임떡,임떡,0,0,0,0,0,0,0
분식,악동통큰떡볶이,악동통큰떡볶이(주),0,0,0,0,0,0,0
분식,킹콩떡볶이,이심전심(주),42,15,6,16,1,"105,384","9,330"
분식,그래도고기,(주)와이더잇,0,0,0,0,0,0,0
분식,중독떡볶이,(주)와이더잇,0,0,0,0,0,0,0
분식,꽈백최선생,(주)최선생,0,0,0,0,0,0,0
분식,한신우동,한신우동,0,0,0,0,0,0,0
분식,잇또라멘,(주)와이더잇,33,21,0,10,0,"121,601","8,732"
분식,90년생 언니네 떡볶이,(주)미트더석세스,0,0,0,0,0,0,0
분식,미월당,(주)고반에프앤비,0,0,0,0,0,0,0
분식,배떡,어메이징피플즈(주),4,4,0,0,0,0,0
분식,무공돈까스,(주)오름에프씨,1,1,0,0,0,0,0
분식,또박꽈배기,태경물산,0,0,0,0,0,0,0
분식,죠스떡볶이,(주)죠스푸드,247,14,42,1,24,"224,670","19,461"
분식,뽀끼캠프,뽀끼캠프,0,0,0,0,0,0,0
분식,007떡볶이,랜드유통,1,1,0,0,0,0,0
분식,뚱볶이,뚱볶이,7,7,0,0,0,"115,061","10,460"
분식,미세스복희,(주)자력갱생,0,0,0,0,0,0,0
분식,델리칸,포맨컴퍼니,0,0,0,0,0,0,0
