업종,브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,"가맹점
평균매출액","가맹점
면적(3.3㎡)당
평균매출액"
한식,복도네,삼광수산(주),0,0,0,0,0,0,0
한식,국사랑,케이씨컴퍼니,29,5,0,15,3,"269,167","24,248"
한식,낙지애가,(주)엠케이우성,0,0,0,0,0,0,0
한식,봄이보리밥,밥상편지푸드,0,0,0,2,0,0,0
한식,#브라더스,(주)저스트컴퍼니,0,0,0,0,0,0,0
한식,범천집목구이,토리고야패밀리(주),7,7,0,0,0,0,0
한식,식사준비,(주)맛있는에프앤비,0,0,0,0,0,0,0
한식,삼육가珍,(주)레블스,5,0,2,0,0,"1,540,660","19,445"
한식,진고래아구찜해물찜,와이앤제이푸드,0,0,0,0,0,0,0
한식,전준수명품청기와감자탕,다니엘푸드,18,2,0,0,0,"619,235","15,578"
한식,봉순이칼국수,봉순이칼국수,0,0,0,0,0,0,0
한식,무쇠김치삼겹,무쇠김치감겹,0,0,0,0,0,0,0
한식,원셰프의 행복식탁,굿푸드,0,0,0,0,0,0,0
한식,면장수,(주)장수에프앤비,0,0,0,0,0,0,0
한식,볶지회관,(주)푸드박스,0,0,0,0,0,0,0
한식,정지안,(주)고반에프앤비,0,0,0,0,0,0,0
한식,해운대 153해물칼국수,(주)일오삼케이엔에프,0,0,0,0,0,0,0
한식,호랭이혼밥대령,(주)여러분의주방,0,0,0,0,0,0,0
한식,헬로부찌,(주)더조은생각,0,0,0,0,0,0,0
한식,남도복국,(주)남도가,13,9,0,0,0,"599,429","16,201"
한식,요리를담다,(주)바담,0,0,0,0,0,0,0
한식,7전8기 8번식당,8번푸드,0,0,0,0,0,0,0
한식,보쌈끝판왕,보쌈끝판왕,0,0,0,0,0,0,0
한식,하늘소불고기,(주)재밌는친구들,0,0,0,0,0,0,0
한식,이대감,(주)제이엘푸드,6,3,0,2,0,0,0
한식,청년보쌈,(주)엘에이치지,0,0,0,0,0,0,0
한식,우스타,(주)엘에이치지,0,0,0,0,0,0,0
한식,오리니,(주)엘에이치지,0,0,0,0,0,0,0
한식,쪽갈비대통령,쪽갈비대통령,0,0,0,0,0,0,0
한식,곱창민족,(주)엘에이치지,0,0,0,0,0,0,0
한식,정손식당,(주)엘에이치지,0,0,0,0,0,0,0
한식,수육신,(주)엘에이치지,0,0,0,0,0,0,0
한식,밥앤국,㈜이.엠.에스,0,0,0,0,0,0,0
한식,두찜,(주)기영에프앤비,263,165,0,29,28,"240,278","12,122"
한식,밀본,(주)밀본,0,0,0,0,0,0,0
한식,널찜닭찜,(주)서현리테일,0,0,0,0,0,0,0
한식,꼬꼬댁,전라도이야기,0,0,0,0,0,0,0
한식,곳간채 숨은고기,와이제푸드,0,0,0,0,0,0,0
한식,국제시장 돼지국밥,(주)마스터아이디,0,0,0,0,0,0,0
한식,우굽는공간 꾸이점빵,태삼(꾸이점빵),4,3,0,0,0,0,0
한식,돈과채 꽃돼지연탄구이,꽃돼지연탄구이,0,0,0,0,0,0,0
한식,다드림,다드림,0,0,0,0,0,0,0
한식,용궁야시장,(주)오가푸드,0,0,0,0,0,0,0
한식,갈비찜1번가,(주)에스코퍼레이션,0,0,0,0,0,0,0
한식,열이네식육식당,열이네식육식당,0,0,0,0,0,0,0
한식,행복낙곱새,행복한가족(주),0,0,0,0,0,0,0
한식,춘향이가 만든전,신춘향전,0,0,0,0,0,0,0
한식,금화왕돈까스,(주)다함컴퍼니,15,16,0,1,0,0,0
한식,외식촌,프랜차이즈그룹,0,0,0,0,0,0,0
한식,이가네곰탕,가마야,0,0,0,0,0,0,0
한식,족보잇는국밥,족보잇는국밥,0,0,0,0,0,0,0
한식,현덕대창,씨지에프(주),0,0,0,0,0,0,0
한식,길성이삼계탕,(주)길성이,0,0,0,0,0,0,0
한식,청춘식당,(유)에브라임이노베이션,0,0,0,0,0,0,0
한식,장원서 닭한마리,(주)에스이엔에프씨,0,0,0,0,0,0,0
한식,삼삼막창1994,(주)고려에프씨,0,0,0,0,0,0,0
한식,알찬하루,알찬하루,2,2,0,0,0,0,0
한식,꽃마름,(주)일야,0,0,0,0,0,0,0
한식,길성이꼬기꼬기,(주)길성이,0,0,0,0,0,0,0
한식,족발의제왕,(주)만수푸드,0,0,0,0,0,0,0
한식,국밥의제왕,(주)만수푸드,0,0,0,0,0,0,0
한식,우뎅이,(주)백년불고기,0,0,0,0,0,0,0
한식,명품상무팥죽,㈜명품상무팥죽,0,0,0,0,0,0,0
한식,길성이가집으로,(주)길성이,0,0,0,0,0,0,0
한식,볼빨간아구찜,에이치와이에프앤비(HYF&B),0,0,0,0,0,0,0
한식,쪽찌,(주)마더푸드,30,16,0,3,0,"300,907","10,916"
한식,철뚝길,철뚝길에프씨,0,0,0,0,0,0,0
한식,괭이부리마을,신솔푸드,0,0,0,0,0,0,0
한식,큰바우국밥,금손,0,0,0,0,0,0,0
한식,맛을그리다오상미,맛을그리다더컴퍼니,0,0,0,0,0,0,0
한식,마포옥,(주)디딤,0,0,0,0,0,0,0
한식,파촌(坡村) 돼지 특수∙부속 전문점,(주)육일컴퍼니,0,0,0,0,0,0,0
한식,따신국밥,(주)한고집,0,0,0,0,0,0,0
한식,기센국밥,올림엔터프라이즈(OLIMENTERPRISE),0,0,0,0,0,0,0
한식,오리뱅크,(주)에이스쏘닉,0,0,0,0,0,0,0
한식,바담코다리네,(주)바담,0,0,0,0,0,0,0
한식,온가솥밥,(주)자력갱생,0,0,0,0,0,0,0
한식,지호한방삼계탕,(주)지호,68,6,0,2,5,"413,563","8,981"
한식,황금 비벼비벼,(주)유니쉐프,0,0,0,0,0,0,0
한식,동양족발,㈜소부상회,0,0,0,0,0,0,0
한식,뒷고기회관,(주)저스트컴퍼니,5,5,0,0,0,0,0
한식,한끼국밥,(주)삼화네트웍,0,0,0,0,0,0,0
한식,닭밥,패밀리에프엔씨,0,0,0,0,0,0,0
한식,기막힌 감자탕&칡냉면,부흥식품,0,0,0,0,0,0,0
한식,복남이네꽁당보리밥,(주)올댓컴퍼니,0,0,0,0,0,0,0
한식,홈쿡,(주)엠케이우성,0,0,0,0,0,0,0
한식,호랭이 곳간,㈜하나컴퍼니,0,0,0,0,0,0,0
한식,선어도,㈜차차,0,0,0,0,0,0,0
한식,육육간,(주)제이앤제이코퍼레이션스,0,0,0,0,0,0,0
한식,발빠닭,(주)어나더푸드컬쳐,20,8,0,5,0,"277,692","11,179"
한식,돼지만,찰만f&c,7,7,1,0,0,"766,992","11,185"
한식,대패만,찰만f&c,4,1,0,0,0,0,0
한식,갈비만,찰만f&c,7,3,0,0,0,"1,338,760","11,900"
한식,육구운본부,피씨에스코리아,0,0,0,0,0,0,0
한식,비돈이제돈이,피씨에스코리아,0,0,0,0,0,0,0
한식,위대한찜닭,착한먹거리,0,0,0,0,0,0,0
한식,똥집이야기,똥집이야기,0,0,0,0,0,0,0
한식,육식청년,(주)달구지푸드,0,0,0,0,0,0,0
한식,대패막창,(주)달구지푸드,0,0,0,0,0,0,0
한식,소문난밥상,(주)에스비에프앤비,0,0,0,0,0,0,0
한식,아구킹,(주)바른에프앤디,0,0,0,0,0,0,0
한식,유가솜씨닭갈비,맛모아식품,0,0,0,0,0,0,0
한식,포장맛차,포장맛차,0,0,0,0,0,0,0
