업종,브랜드,상호,가맹사업 개시일,가맹사업 년수,가맹점수,가맹본부 임직원수
한식,복도네,삼광수산(주),가맹사업 개시 전,0년 0개월,0,11명
한식,국사랑,케이씨컴퍼니,2013-04-01,7년 11개월,29,3명
한식,낙지애가,(주)엠케이우성,2014-01-10,7년 2개월,0,6명
한식,봄이보리밥,밥상편지푸드,2018-09-01,2년 6개월,0,1명
한식,#브라더스,(주)저스트컴퍼니,2020-10-17,0년 5개월,0,2명
한식,범천집목구이,토리고야패밀리(주),2019-09-01,1년 6개월,7,6명
한식,식사준비,(주)맛있는에프앤비,가맹사업 개시 전,0년 0개월,0,11명
한식,삼육가珍,(주)레블스,2015-09-24,5년 6개월,5,41명
한식,진고래아구찜해물찜,와이앤제이푸드,가맹사업 개시 전,0년 0개월,0,0명
한식,전준수명품청기와감자탕,다니엘푸드,2016-07-01,4년 8개월,18,5명
한식,봉순이칼국수,봉순이칼국수,가맹사업 개시 전,0년 0개월,0,0명
한식,무쇠김치삼겹,무쇠김치감겹,2020-10-05,0년 5개월,0,0명
한식,원셰프의 행복식탁,굿푸드,가맹사업 개시 전,0년 0개월,0,6명
한식,면장수,(주)장수에프앤비,2020-06-10,0년 9개월,0,0명
한식,볶지회관,(주)푸드박스,가맹사업 개시 전,0년 0개월,0,0명
한식,정지안,(주)고반에프앤비,2020-03-03,1년 0개월,0,9명
한식,해운대 153해물칼국수,(주)일오삼케이엔에프,가맹사업 개시 전,0년 0개월,0,0명
한식,호랭이혼밥대령,(주)여러분의주방,가맹사업 개시 전,0년 0개월,0,0명
한식,헬로부찌,(주)더조은생각,가맹사업 개시 전,0년 0개월,0,0명
한식,남도복국,(주)남도가,2017-07-08,3년 8개월,13,6명
한식,요리를담다,(주)바담,가맹사업 개시 전,0년 0개월,0,0명
한식,7전8기 8번식당,8번푸드,가맹사업 개시 전,0년 0개월,0,1명
한식,보쌈끝판왕,보쌈끝판왕,가맹사업 개시 전,0년 0개월,0,0명
한식,하늘소불고기,(주)재밌는친구들,2020-03-23,1년 0개월,0,0명
한식,이대감,(주)제이엘푸드,2014-10-04,6년 5개월,6,2명
한식,청년보쌈,(주)엘에이치지,2020-02-25,1년 1개월,0,13명
한식,우스타,(주)엘에이치지,2020-02-25,1년 1개월,0,13명
한식,오리니,(주)엘에이치지,2020-02-25,1년 1개월,0,13명
한식,쪽갈비대통령,쪽갈비대통령,2020-08-01,0년 7개월,0,1명
한식,곱창민족,(주)엘에이치지,2020-02-25,1년 1개월,0,13명
한식,정손식당,(주)엘에이치지,2020-02-25,1년 1개월,0,13명
한식,수육신,(주)엘에이치지,2020-02-20,1년 1개월,0,13명
한식,밥앤국,㈜이.엠.에스,가맹사업 개시 전,0년 0개월,0,118명
한식,두찜,(주)기영에프앤비,2016-07-01,4년 8개월,263,35명
한식,밀본,(주)밀본,가맹사업 개시 전,0년 0개월,0,0명
한식,널찜닭찜,(주)서현리테일,가맹사업 개시 전,0년 0개월,0,6명
한식,꼬꼬댁,전라도이야기,가맹사업 개시 전,0년 0개월,0,0명
한식,곳간채 숨은고기,와이제푸드,가맹사업 개시 전,0년 0개월,0,1명
한식,국제시장 돼지국밥,(주)마스터아이디,가맹사업 개시 전,0년 0개월,0,11명
한식,우굽는공간 꾸이점빵,태삼(꾸이점빵),2018-12-20,2년 3개월,4,1명
한식,돈과채 꽃돼지연탄구이,꽃돼지연탄구이,가맹사업 개시 전,0년 0개월,0,2명
한식,다드림,다드림,2020-10-29,0년 5개월,0,0명
한식,용궁야시장,(주)오가푸드,가맹사업 개시 전,0년 0개월,0,0명
한식,갈비찜1번가,(주)에스코퍼레이션,가맹사업 개시 전,0년 0개월,0,0명
한식,열이네식육식당,열이네식육식당,가맹사업 개시 전,0년 0개월,0,4명
한식,행복낙곱새,행복한가족(주),가맹사업 개시 전,0년 0개월,0,8명
한식,춘향이가 만든전,신춘향전,가맹사업 개시 전,0년 0개월,0,0명
한식,금화왕돈까스,(주)다함컴퍼니,2019-03-18,2년 0개월,15,8명
한식,외식촌,프랜차이즈그룹,가맹사업 개시 전,0년 0개월,0,0명
한식,이가네곰탕,가마야,가맹사업 개시 전,0년 0개월,0,1명
한식,족보잇는국밥,족보잇는국밥,가맹사업 개시 전,0년 0개월,0,5명
한식,현덕대창,씨지에프(주),가맹사업 개시 전,0년 0개월,0,26명
한식,길성이삼계탕,(주)길성이,가맹사업 개시 전,0년 0개월,0,11명
한식,청춘식당,(유)에브라임이노베이션,가맹사업 개시 전,0년 0개월,0,71명
한식,장원서 닭한마리,(주)에스이엔에프씨,2019-01-10,2년 2개월,0,6명
한식,삼삼막창1994,(주)고려에프씨,2020-06-29,0년 9개월,0,0명
한식,알찬하루,알찬하루,2019-11-17,1년 4개월,2,1명
한식,꽃마름,(주)일야,2020-11-17,0년 4개월,0,52명
한식,길성이꼬기꼬기,(주)길성이,가맹사업 개시 전,0년 0개월,0,11명
한식,족발의제왕,(주)만수푸드,가맹사업 개시 전,0년 0개월,0,0명
한식,국밥의제왕,(주)만수푸드,가맹사업 개시 전,0년 0개월,0,0명
한식,우뎅이,(주)백년불고기,가맹사업 개시 전,0년 0개월,0,5명
한식,명품상무팥죽,㈜명품상무팥죽,2020-01-29,1년 2개월,0,31명
한식,길성이가집으로,(주)길성이,가맹사업 개시 전,0년 0개월,0,11명
한식,볼빨간아구찜,에이치와이에프앤비(HYF&B),가맹사업 개시 전,0년 0개월,0,0명
한식,쪽찌,(주)마더푸드,2016-07-25,4년 8개월,30,34명
한식,철뚝길,철뚝길에프씨,가맹사업 개시 전,0년 0개월,0,0명
한식,괭이부리마을,신솔푸드,가맹사업 개시 전,0년 0개월,0,1명
한식,큰바우국밥,금손,가맹사업 개시 전,0년 0개월,0,0명
한식,맛을그리다오상미,맛을그리다더컴퍼니,가맹사업 개시 전,0년 0개월,0,0명
