번호,상호,영업표지,대표자,등록번호,업종,링크
6060,마에똥,마에똥,이진유,20200871,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=101872
6059,(주)금강브루어리,바이젠하우스,임성빈,20160002,기타 외식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=101688
6058,(주)로희,오늘닭강정,강덕근,20201639,치킨,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=101674
6057,똥집이야기,똥집이야기,김동기,20201641,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=101662
6056,(주)재이에스푸드,재성밀면,하재성,20210965,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=101620
6055,(주)티아이컴퍼니(T.I.COMPANY),8선곱창전골,김태일,20210966,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=101598
6054,집으로낙곱새,집으로낙곱새,김지나,20200521,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=101368
6053,(주)나르텍,와우소갈비,황정훈,20210964,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=101254
6052,제이에스컴퍼니,도레미치킨,김성환,20191341,치킨,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=100854
6051,(주)에스에이치리테일,슈퍼사이즈커피,박성현,20140913,커피,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=100704
6050,(주)비바리즈,제주울어멍해장국,고혜지,20171083,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=100616
6049,(주)아이푸드,얌이밀,정유미,20210963,기타 외식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=100572
6048,(주)에이앤제이코퍼레이션,조슈아버거팩토리(Joshua Burger Factory),이원규,20200487,패스트푸드,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=100033
6047,(주)에이앤제이코퍼레이션,제퍼빈스(Zephyr Beans),이원규,20110100389,커피,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=100031
6046,(주)에이앤제이코퍼레이션,논노스(NONNOS),이원규,20200486,기타 외식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=100029
6045,(주)에이앤제이코퍼레이션,쇼부,이원규,20150422,기타 외식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=100027
6044,(주)불로만,불로만치킨바베큐,김영경,20080200073,치킨,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=90611
6043,(주)육대장,육대장,이진수,20120100694,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=90610
6042,(주)온센,온센,"박현숙, 김선영",20200394,일식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=90573
6041,밥값계산하는남자들,마피아떡볶이,김유희,20181085,분식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=90390
6040,블러프컴퍼니,윤이불닭발,이태윤,20201592,기타 외식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=90218
