업종,브랜드,가맹사업 년수,가맹점수,"가맹점
평균매출액","합계
(창업비용
지수)",개점률,폐점률
한식,복도네,0년 0개월,0,0,"70,450
(.00)",0,0
한식,국사랑,7년 11개월,29,"269,167","52,600
(.00)",17.24,51.72
한식,낙지애가,7년 2개월,0,0,"106,950
(.00)",0,0
한식,봄이보리밥,2년 6개월,0,0,"84,400
(.00)",0,0
한식,#브라더스,0년 5개월,0,0,"29,610
(.00)",0,0
한식,범천집목구이,1년 6개월,7,0,"55,525
(.00)",100.0,0.0
한식,식사준비,0년 0개월,0,0,"57,000
(.00)",0,0
한식,삼육가珍,5년 6개월,5,"1,540,660","100,448
(.00)",0.0,200.0
한식,진고래아구찜해물찜,0년 0개월,0,0,"8,500
(.00)",0,0
한식,전준수명품청기와감자탕,4년 8개월,18,"619,235","115,000
(.00)",11.11,0.0
한식,봉순이칼국수,0년 0개월,0,0,"70,263
(.00)",0,0
한식,무쇠김치삼겹,0년 5개월,0,0,"81,060
(.00)",0,0
한식,원셰프의 행복식탁,0년 0개월,0,0,"71,830
(.00)",0,0
한식,면장수,0년 9개월,0,0,"112,000
(.00)",0,0
한식,볶지회관,0년 0개월,0,0,"836
(.00)",0,0
한식,정지안,1년 0개월,0,0,"124,800
(.00)",0,0
한식,해운대 153해물칼국수,0년 0개월,0,0,"155,800
(.00)",0,0
한식,호랭이혼밥대령,0년 0개월,0,0,"59,930
(.00)",0,0
한식,헬로부찌,0년 0개월,0,0,"29,665
(.00)",0,0
한식,남도복국,3년 8개월,13,"599,429","104,220
(.00)",69.23,0.0
한식,요리를담다,0년 0개월,0,0,"128,200
(.00)",0,0
한식,7전8기 8번식당,0년 0개월,0,0,"89,900
(.00)",0,0
한식,보쌈끝판왕,0년 0개월,0,0,"14,200
(.00)",0,0
한식,하늘소불고기,1년 0개월,0,0,"31,600
(.00)",0,0
한식,이대감,6년 5개월,6,0,"133,546
(.00)",50.0,33.33
한식,청년보쌈,1년 1개월,0,0,"118,600
(.00)",0,0
한식,우스타,1년 1개월,0,0,"118,600
(.00)",0,0
한식,오리니,1년 1개월,0,0,"118,600
(.00)",0,0
한식,쪽갈비대통령,0년 7개월,0,0,"84,150
(.00)",0,0
한식,곱창민족,1년 1개월,0,0,"118,600
(.00)",0,0
한식,정손식당,1년 1개월,0,0,"118,600
(.00)",0,0
한식,수육신,1년 1개월,0,0,"118,600
(.00)",0,0
한식,밥앤국,0년 0개월,0,0,"65,700
(.00)",0,0
한식,두찜,4년 8개월,263,"240,278","47,000
(.00)",62.74,11.03
한식,밀본,0년 0개월,0,0,"98,500
(.00)",0,0
한식,널찜닭찜,0년 0개월,0,0,"74,300
(.00)",0,0
한식,꼬꼬댁,0년 0개월,0,0,"56,900
(.00)",0,0
한식,곳간채 숨은고기,0년 0개월,0,0,"97,430
(.00)",0,0
한식,국제시장 돼지국밥,0년 0개월,0,0,"33,967
(.00)",0,0
한식,우굽는공간 꾸이점빵,2년 3개월,4,0,"170,500
(1.00)",75.0,0.0
한식,돈과채 꽃돼지연탄구이,0년 0개월,0,0,"116,300
(.00)",0,0
한식,다드림,0년 5개월,0,0,"128,500
(.00)",0,0
한식,용궁야시장,0년 0개월,0,0,"125,650
(.00)",0,0
한식,갈비찜1번가,0년 0개월,0,0,"6,380
(.00)",0,0
한식,열이네식육식당,0년 0개월,0,0,"112,360
(.00)",0,0
한식,행복낙곱새,0년 0개월,0,0,"36,900
(.00)",0,0
한식,춘향이가 만든전,0년 0개월,0,0,"83,400
(.00)",0,0
한식,금화왕돈까스,2년 0개월,15,0,"105,775
(.00)",106.67,6.67
한식,외식촌,0년 0개월,0,0,"123,100
(.00)",0,0
한식,이가네곰탕,0년 0개월,0,0,"24,100
(.00)",0,0
한식,족보잇는국밥,0년 0개월,0,0,"34,055
(.00)",0,0
한식,현덕대창,0년 0개월,0,0,"149,400
(.00)",0,0
한식,길성이삼계탕,0년 0개월,0,0,"196,100
(1.00)",0,0
한식,청춘식당,0년 0개월,0,0,"43,800
(.00)",0,0
한식,장원서 닭한마리,2년 2개월,0,0,"63,455
(.00)",0,0
한식,삼삼막창1994,0년 9개월,0,0,"65,350
(.00)",0,0
한식,알찬하루,1년 4개월,2,0,"162,850
(1.00)",100.0,0.0
한식,꽃마름,0년 4개월,0,0,"230,800
(1.00)",0,0
