닭/오리요리,1977오늘통닭,서울특별시,도봉구,쌍문2동,127.036988493126,37.6553131235082
닭/오리요리,1987금빛통닭,대전광역시,중구,태평1동,127.397509075248,36.3250715748509
닭/오리요리,1988옛날통닭,경기도,고양시 덕양구,창릉동,126.896959405971,37.6490501162533
닭/오리요리,1988옛날통닭,충청북도,청주시 흥덕구,복대1동,127.428435039063,36.6415825857142
닭/오리요리,1988옛날통닭용죽점,경기도,평택시,비전2동,127.124224215449,36.9937838055461
닭/오리요리,19에교촌치킨,경기도,김포시,장기동,126.669712346054,37.6444357637038
닭/오리요리,21세기굽는치킨,부산광역시,해운대구,좌1동,129.17578305924,35.1710518729935
닭/오리요리,24년전통처갓집양념치킨,경기도,김포시,풍무동,126.718218475108,37.6003727096547
닭/오리요리,5.5닭갈비,경기도,고양시 덕양구,행신2동,126.833688999262,37.6152299116239
닭/오리요리,5.5닭갈비,경기도,수원시 영통구,태장동,127.056632070719,37.2392340057223
닭/오리요리,5.5닭갈비,경기도,의정부시,신곡2동,127.057621156769,37.7434920852632
닭/오리요리,5.5닭갈비,경상남도,사천시,사천읍,128.083092471868,35.074847929608
닭/오리요리,5.5닭갈비,대전광역시,대덕구,송촌동,127.437760676992,36.3653643917285
닭/오리요리,5.5닭갈비,대전광역시,대덕구,신탄진동,127.432044411695,36.4480444064719
닭/오리요리,5.5닭갈비,대전광역시,동구,용운동,127.461365514565,36.3277196394685
닭/오리요리,5.5닭갈비,대전광역시,서구,가수원동,127.351219945654,36.3077235318554
닭/오리요리,5.5닭갈비,대전광역시,서구,갈마2동,127.375738874126,36.3483112658506
닭/오리요리,5.5닭갈비,대전광역시,서구,괴정동,127.384062344522,36.3354305279471
닭/오리요리,5.5닭갈비,대전광역시,서구,정림동,127.363593148957,36.3061046897585
닭/오리요리,5.5닭갈비,대전광역시,서구,탄방동,127.39676245167,36.3482389883535
닭/오리요리,5.5닭갈비,대전광역시,유성구,관평동,127.39382076554,36.4229732897423
닭/오리요리,5.5닭갈비,대전광역시,유성구,구즉동,127.385992494503,36.4328649287291
닭/오리요리,5.5닭갈비,대전광역시,유성구,원신흥동,127.339155592748,36.3465644194614
닭/오리요리,5.5닭갈비,대전광역시,유성구,진잠동,127.31812293895,36.2991486875629
닭/오리요리,5.5닭갈비,대전광역시,중구,유천1동,127.39254529738,36.3188638530781
닭/오리요리,5.5닭갈비,인천광역시,미추홀구,,126.636035526051,37.4501166588771
닭/오리요리,5.5닭갈비,인천광역시,미추홀구,학익1동,126.668417883322,37.4410161252672
닭/오리요리,5.5닭갈비,인천광역시,연수구,옥련1동,126.653178080744,37.4231201036644
닭/오리요리,5.5닭갈비,전라남도,목포시,원산동,126.374751242077,34.8076875128879
닭/오리요리,5.5닭갈비,전라북도,전주시 덕진구,송천1동,127.121972721158,35.8672141427122
닭/오리요리,5.5닭갈비,충청남도,공주시,신관동,127.138144533818,36.470797463758
닭/오리요리,5.5닭갈비,충청남도,당진시,합덕읍,126.768101067491,36.8062254930194
닭/오리요리,5.5닭갈비,충청남도,보령시,대천3동,126.602092358982,36.346911195644
닭/오리요리,5.5닭갈비,충청남도,천안시 동남구,신방동,127.124248626572,36.7883482612006
닭/오리요리,5.5닭갈비,충청남도,천안시 서북구,부성1동,127.139015207228,36.8304323562107
닭/오리요리,5.5닭갈비,충청남도,천안시 서북구,부성1동,127.145738530745,36.8327067234954
닭/오리요리,5.5닭갈비,충청남도,천안시 서북구,부성1동,127.145746734694,36.8329771312173
닭/오리요리,5.5닭갈비,충청북도,청주시 청원구,율량.사천동,127.48169469521,36.6657622752742
닭/오리요리,5.5닭갈비,충청북도,충주시,칠금.금릉동,127.923969098761,36.9858696108073
닭/오리요리,5.5닭갈비노은점,대전광역시,유성구,노은3동,127.312321458438,36.3904567332761
닭/오리요리,5.5닭갈비도안신도시점,대전광역시,유성구,원신흥동,127.339165438392,36.3467176859144
닭/오리요리,5.5닭갈비별내점,경기도,남양주시,별내동,127.114802416864,37.6657620303148
닭/오리요리,5.5닭갈비부평점,인천광역시,부평구,부평1동,126.721507664,37.4993766946688
닭/오리요리,5.5닭갈비북항점,전라남도,목포시,원산동,126.377924648073,34.8097038611174
닭/오리요리,5.5닭갈비서산점,충청남도,서산시,동문2동,126.46266338414,36.7788168520826
닭/오리요리,5.5닭갈비월평,대전광역시,서구,월평1동,127.363719434049,36.3549531576345
닭/오리요리,5.5닭갈비은행점,대전광역시,중구,은행선화동,127.428156976778,36.3270066046507
닭/오리요리,5.5닭갈비전문점,대전광역시,서구,가수원동,127.351219945654,36.3077235318554
닭/오리요리,5.5닭갈비전문점,부산광역시,강서구,명지동,128.910581595724,35.0849344896224
닭/오리요리,5.5닭갈비전문점,전라남도,목포시,부흥동,126.431680132597,34.8006016515339
닭/오리요리,5.5닭갈비전문점,충청북도,청주시 서원구,산남동,127.470002061266,36.612269100722
닭/오리요리,5.5닭갈비전문점,충청북도,청주시 흥덕구,가경동,127.437414498843,36.6262777420545
닭/오리요리,5.5닭갈비전문점,충청북도,충주시,칠금.금릉동,127.923969098761,36.9858696108073
닭/오리요리,5.5닭갈비청양점,충청남도,청양군,청양읍,126.80265032511,36.4477524284246
닭/오리요리,5.5닭갈비청양점,충청남도,청양군,청양읍,126.80265032511,36.4477524284246
닭/오리요리,5.5닭갈비포항남구점,경상북도,포항시 남구,오천읍,129.405544273721,35.9627885526704
닭/오리요리,60계,강원도,태백시,상장동,128.99072551473,37.1611816153327
닭/오리요리,60계,경기도,고양시 일산서구,주엽1동,126.765665327277,37.6683374605959
닭/오리요리,60계,경기도,군포시,산본2동,126.936918709806,37.3697410635495
닭/오리요리,60계,경기도,수원시 권선구,세류1동,127.008586529396,37.2632790910643
닭/오리요리,60계,경기도,안산시 단원구,신길동,126.787032954541,37.332689002564
닭/오리요리,60계,경기도,안산시 단원구,중앙동,126.837702361526,37.3170955951917
닭/오리요리,60계,경기도,의정부시,신곡1동,127.055395921752,37.7310942407731
닭/오리요리,60계,경상남도,거창군,거창읍,127.907907505978,35.6874130703603
닭/오리요리,60계,경상남도,창원시 마산회원구,내서읍,128.522851457769,35.261210927957
닭/오리요리,60계,경상남도,창원시 성산구,반송동,128.670966694958,35.2359258962281
닭/오리요리,60계,경상북도,경산시,진량읍,128.825022875172,35.8829571157364
닭/오리요리,60계,경상북도,구미시,양포동,128.421161644142,36.1381304088767
닭/오리요리,60계,경상북도,안동시,송하동,128.687781276405,36.5744953530024
닭/오리요리,60계,경상북도,칠곡군,왜관읍,128.40779865075,36.0012241025074
닭/오리요리,60계,대구광역시,서구,비산2.3동,128.571696461781,35.875317555475
닭/오리요리,60계,부산광역시,금정구,구서1동,129.087767762229,35.245345886357
닭/오리요리,60계,부산광역시,서구,동대신1동,129.019325372794,35.1089930278827
닭/오리요리,60계,서울특별시,강남구,개포2동,127.066824789888,37.4886790644454
닭/오리요리,60계,서울특별시,용산구,이태원2동,126.994339754372,37.540219061687
닭/오리요리,60계,인천광역시,계양구,계산1동,126.722162048294,37.537938742169
닭/오리요리,60계,전라남도,목포시,신흥동,126.428990657868,34.8035505221088
닭/오리요리,60계,전라북도,전주시 덕진구,덕진동,127.125889412446,35.8443044585938
닭/오리요리,60계,충청남도,태안군,태안읍,126.305168383805,36.7481304221563
닭/오리요리,60계,충청북도,옥천군,옥천읍,127.570234513894,36.3004197871
닭/오리요리,60계,충청북도,청주시 흥덕구,오송읍,127.331891782483,36.6299143798006
닭/오리요리,60계광주효천점,광주광역시,남구,효덕동,126.888747722728,35.102425300183
닭/오리요리,60계녹양,경기도,의정부시,녹양동,127.034349457428,37.7565847315665
닭/오리요리,60계닭,서울특별시,강남구,개포2동,127.066824789888,37.4886790644454
닭/오리요리,60계대구,대구광역시,달성군,옥포읍,128.44049985543,35.7815725747423
닭/오리요리,60계목포상동,전라남도,목포시,하당동,126.421524965427,34.8133960877957
닭/오리요리,60계서울,서울특별시,마포구,아현동,126.95380380831,37.5501838210738
닭/오리요리,60계서울,서울특별시,성동구,행당2동,127.027512774894,37.5562382207618
닭/오리요리,60계오리,경기도,성남시 분당구,구미동,127.109923258559,37.3403705945249
닭/오리요리,60계용인,경기도,용인시 수지구,풍덕천1동,127.097008180645,37.3247019809976
닭/오리요리,60계용인한숲,경기도,용인시 처인구,남사면,127.169959783251,37.1526028422602
닭/오리요리,60계원주혁신도시점,강원도,원주시,반곡관설동,127.978851058217,37.3258837909791
닭/오리요리,60계전주아중,전라북도,전주시 덕진구,우아2동,127.167349558982,35.8354956350123
닭/오리요리,60계창원봉곡,경상남도,창원시 의창구,봉림동,128.65054294519,35.2428791072666
닭/오리요리,60계충북,충청북도,충주시,용산동,127.94251104772,36.9619269555013
닭/오리요리,60계충북오창2산단점,충청북도,청주시 청원구,오창읍,127.451321158931,36.7321708040594
닭/오리요리,60계치킨,강원도,강릉시,내곡동,128.869114455478,37.740171658921
닭/오리요리,60계치킨,강원도,동해시,북삼동,129.107354773402,37.4886705910443
닭/오리요리,60계치킨,강원도,삼척시,교동,129.170160285281,37.4511223817105
닭/오리요리,60계치킨,강원도,속초시,청호동,128.596601758084,38.1903321784332
닭/오리요리,60계치킨,강원도,영월군,영월읍,128.470017301367,37.1831792661087
닭/오리요리,60계치킨,강원도,철원군,동송읍,127.218810097927,38.2075477304572
닭/오리요리,60계치킨,강원도,태백시,상장동,128.99072551473,37.1611816153327
닭/오리요리,60계치킨,경기도,고양시 일산서구,일산3동,126.770812297732,37.6772120955782
닭/오리요리,60계치킨,경기도,과천시,갈현동,126.993503103429,37.4230026725077
닭/오리요리,60계치킨,경기도,광주시,송정동,127.257089240764,37.4158971614432
닭/오리요리,60계치킨,경기도,구리시,갈매동,127.11553099247,37.6310955359065
닭/오리요리,60계치킨,경기도,구리시,수택2동,127.142782716447,37.5971740880387
닭/오리요리,60계치킨,경기도,군포시,산본2동,126.936846301853,37.3692718575237
닭/오리요리,60계치킨,경기도,김포시,고촌읍,126.772038354944,37.6027650581548
닭/오리요리,60계치킨,경기도,김포시,사우동,126.716377144329,37.6211931381317
닭/오리요리,60계치킨,경기도,남양주시,퇴계원읍,127.145645963635,37.6478155122983
