상호,영업표지,대표자,업종,법인설립등기일,사업자등록일,대표번호,대표팩스 번호,등록번호,최초등록일,최종등록일,주소,사업자유형,법인등록번호,사업자등록번호,2019년 자산,2019년 부채,2019년 자본,2019년 매출액,2019년 영업이익,2019년 당기순이익,2018년 자산,2018년 부채,2018년 자본,2018년 매출액,2018년 영업이익,2018년 당기순이익,2017년 자산,2017년 부채,2017년 자본,2017년 매출액,2017년 영업이익,2017년 당기순이익,브랜드 수,가맹사업 계열사 수,가맹사업 개시일,2019년 신규개점,2019년 계약종료,2019년 계약해지,2019년 명의변경,2018년 신규개점,2018년 계약종료,2018년 계약해지,2018년 명의변경,2017년 신규개점,2017년 계약종료,2017년 계약해지,2017년 명의변경,"가맹지역본부(지사,지역총판)수",형태,예치 가맹금,공정거래위원회의 시정조치,민사소송 패소 및 민사상 화해,형의 선고,가입비(가맹비),교육비,보증금,기타비용,합계,단위면적(3.3㎡)당 인테리어 비용,기준점포면적(㎡),인테리어 비용,최초 계약기간,연장 계약기간
나쿤요리연구소,라쿤치킨&떡볶이,나종국,치킨,..,2020.11.11,032  -  818  -  3883,  -    -  ,20200726,2020.06.16,2021.03.24,우 : 21929 인천광역시 연수구 샘말로8번길 13-8 101호,개인,  -  ,390  -  10  -  01556,0,0,0,"28,585",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,가맹계약체결사실 없음,0,0,0,0,0,0,0,0,0,0,0,0,0  개,예치제,"7,400",0,0,0,"2,200","2,200","3,000","22,550","29,950",330 ,33 ,"3,300 ",2,2
엑시트피자,엑시트피자(EXIT PIZZA),배장주,서양식,..,2020.11.05,063  -  226  -  3700,  -    -  ,20210858,2021.03.24,2021.03.24,우 : 55058 전라북도 전주시 완산구 우전2길 65 1층 101호,개인,  -  ,268  -  06  -  01631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,가맹사업개시전,0,0,0,0,0,0,0,0,0,0,0,0,0  개,예치제,"13,450",0,0,0,"7,150","3,300","3,000","34,145","47,595",880 ,50 ,"13,200 ",2,1
아이언푸드,칼있으마,조민식,한식,..,2020.12.21,010  -  3583  -  6040,0504  -  157  -  6040,20210822,2021.03.23,2021.03.23,우 : 46711 부산광역시 강서구 제도로 807,개인,  -  ,444  -  36  -  00932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,가맹계약체결 사실이 없음,0,0,0,0,0,0,0,0,0,0,0,0,0  개,예치제,"16,500",0,0,0,"5,500","11,000",0,"62,700","79,200","1,760 ",66 ,"35,200 ",2,2
(주)국민키친,킹스 두 킹(Kings du king),김진주,기타 외식,2020.03.12,2020.03.12,031  -  335  -  2008,031  -  335  -  5020,20210837,2021.03.23,2021.03.23,우 : 17149 경기도 용인시 처인구 고림로 174 에이동 2층,법인,134511  -  0444311,461  -  87  -  01530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,가맹계약 체결 사실이 없습니다.,0,0,0,0,0,0,0,0,0,0,0,0,0  개,보험,"16,000",0,0,0,"7,700","3,300","5,000","84,500","100,500","1,980 ",50 ,"29,700 ",5,5
(주)국민키친,그린스미스(Green Smis),김진주,기타 외식,2020.03.12,2020.03.12,031  -  335  -  2008,031  -  335  -  5020,20210838,2021.03.23,2021.03.23,우 : 17149 경기도 용인시 처인구 고림로 174 에이동 2층,법인,134511  -  0444311,461  -  87  -  01530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,가맹계약 체결 사실이 없습니다.,0,0,0,0,0,0,0,0,0,0,0,0,0  개,보험,"16,000",0,0,0,"7,700","3,300","5,000","49,250","65,250","1,980 ",33 ,"19,800 ",5,5
(주)국민키친,쭈사마,김진주,기타 외식,2020.03.12,2020.03.12,031  -  335  -  2008,031  -  335  -  5020,20210836,2021.03.23,2021.03.23,우 : 17149 경기도 용인시 처인구 고림로 174 에이동 2층,법인,134511  -  0444311,461  -  87  -  01530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,가맹계약 체결 사실이 없습니다.,0,0,0,0,0,0,0,0,0,0,0,0,0  개,보험,"16,000",0,0,0,"7,700","3,300","5,000","84,500","100,500","1,980 ",50 ,"29,700 ",5,5
(주)국민키친,깐깐식당,김진주,기타 외식,2020.03.12,2020.03.12,031  -  335  -  2008,031  -  335  -  5020,20210839,2021.03.23,2021.03.23,우 : 17149 경기도 용인시 처인구 고림로 174 에이동 2층,법인,134511  -  0444311,461  -  87  -  01530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,가맹계약 체결 사실이 없습니다.,0,0,0,0,0,0,0,0,0,0,0,0,0  개,보험,"16,000",0,0,0,"7,700","3,300","5,000","84,500","100,500","1,980 ",50 ,"29,700 ",5,5
우리FNB,우리분식,안선홍,분식,..,2020.12.01,02  -  1800  -  7797,032  -  720  -  5452,20210809,2021.03.22,2021.03.22,우 : 21990 인천광역시 연수구 송도미래로 30 디동 2205호 일부,개인,  -  ,670  -  07  -  01675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,가맹사업 개시 전,0,0,0,0,0,0,0,0,0,0,0,0,0  개,0,0,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0,0
우리FNB,청담동순도리,안선홍,한식,..,2020.12.01,02  -  1800  -  7797,032  -  720  -  5452,20210811,..,2021.03.22,우 : 21990 인천광역시 연수구 송도미래로 30 디동 2205호 일부,개인,  -  ,824  -  32  -  00561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019  -  04  -  23,0,0,0,0,0,0,0,0,0,0,0,0,0  개,0,0,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0,0
불철주야컴퍼니,가마솥김치찜,이수진,기타 외식,..,2019.09.16,  -  1899  -  3359,02  -  0000  -  0000,20180909,2018.09.07,2021.03.17,우 : 62409 광주광역시 광산구 평동매화길 53-49 (지죽동),개인,  -  ,849  -  24  -  00925,"-2,982","-2,982",0,0,"-2,982","-2,982",0,0,0,0,0,0,0,0,0,0,0,0,2,0,2018  -  08  -  10,2,0,1,0,1,0,0,0,0,0,0,0,0  개,예치제,"7,500",0,0,0,"2,200","3,300","2,000","17,050","24,550",165 ,33 ,"1,650 ",2,1
돼지생갈비상회,돼지생갈비상회,강희식,한식,..,2018.06.20,052  -  256  -  2200,  -    -  ,20210751,2021.03.17,2021.03.17,우 : 44721 울산광역시 남구 달삼로 62 1층(달동),개인,  -  ,661  -  12  -  00870,0,0,0,"490,089",0,0,0,0,0,"288,355",0,0,0,0,0,0,0,0,1,0,가맹계약체결사실이 없습니다,0,0,0,0,0,0,0,0,0,0,0,0,0  개,예치제,"18,500",0,0,0,"11,000","5,500","2,000","77,000","95,500","1,540 ",99 ,"46,200 ",2,1
여기다양꼬치,여기다양꼬치,이옥,중식,..,2013.11.19,055  -  759  -  7212,055  -  744  -  5512,20210711,2021.03.15,2021.03.15,우 : 52796 경상남도 진주시 돗골로 119-1 1층,개인,  -  ,613  -  19  -  59819,0,0,0,"364,134",0,0,0,0,0,"402,878",0,0,0,0,0,"493,639",0,0,0,0,2017  -  11  -  22,0,0,0,0,0,0,0,0,1,0,0,0,0  개,예치제,"17,700",0,0,0,"5,500","2,200","10,000","71,040","88,740","1,500 ",99 ,"45,000 ",5,3
(주)지에프코리아,새참만두버거,이병위,기타 외식,2012.10.10,2012.09.03,032  -  508  -  9592,032  -  505  -  3735,20210703,2021.03.12,2021.03.12,"우 : 21414 인천광역시 부평구 경인로1009번길 15 (부평동, 1층)",법인,120111  -  0629818,122  -  86  -  27924,"343,811","153,330","190,481","2,220,187","132,992","140,098","186,388","136,006","50,382","1,573,401","54,939","62,881","163,416","175,915","-12,499","1,355,809",160,"1,439",4,0,가맹사업 예정,0,0,0,0,0,0,0,0,0,0,0,0,0  개,예치제,"8,500",0,0,0,"3,300","2,200","3,000","29,050","37,550","1,870 ",50 ,"28,050 ",2,1
