업종,브랜드,상호,가맹사업 개시일,가맹사업 년수,가맹점수,가맹본부 임직원수,가맹점수,신규개점,계약종료,계약해지,명의변경,"가맹점
평균매출액","가맹점
면적(3.3㎡)당
평균매출액","가입비
(가맹비)",교육비,보증금,"기타비용
(인테리어
비용포함)","합계
(창업비용
지수)","면적당(3.3㎡)
비용","기준면적
(㎡)",총 비용
한식,복도네,삼광수산(주),가맹사업 개시 전,0년 0개월,0,11명,0,0,0,0,0,0,0,"5,500","2,200","5,000","57,750","70,450
(.00)","2,200",50,"33,000"
한식,국사랑,케이씨컴퍼니,2013-04-01,7년 11개월,29,3명,29,5,0,15,3,"269,167","24,248","5,500","2,200","2,000","42,900","52,600
(.00)","1,760",33,"17,600"
한식,낙지애가,(주)엠케이우성,2014-01-10,7년 2개월,0,6명,0,0,0,0,0,0,0,"12,100","3,300","3,000","88,550","106,950
(.00)","1,650",99,"49,500"
한식,봄이보리밥,밥상편지푸드,2018-09-01,2년 6개월,0,1명,0,0,0,2,0,0,0,"7,700","3,300","3,000","70,400","84,400
(.00)","1,650",66,"33,000"
한식,#브라더스,(주)저스트컴퍼니,2020-10-17,0년 5개월,0,2명,0,0,0,0,0,0,0,"5,500","3,300","2,000","18,810","29,610
(.00)",330,33,"3,300"
한식,범천집목구이,토리고야패밀리(주),2019-09-01,1년 6개월,7,6명,7,7,0,0,0,0,0,"11,000","7,700","3,000","33,825","55,525
(.00)","1,100",43,"14,300"
한식,식사준비,(주)맛있는에프앤비,가맹사업 개시 전,0년 0개월,0,11명,0,0,0,0,0,0,0,"5,500","2,200","2,000","47,300","57,000
(.00)","2,420",33,"24,200"
한식,삼육가珍,(주)레블스,2015-09-24,5년 6개월,5,41명,5,0,2,0,0,"1,540,660","19,445","11,000","3,300","4,000","82,148","100,448
(.00)","1,485",99,"44,550"
한식,진고래아구찜해물찜,와이앤제이푸드,가맹사업 개시 전,0년 0개월,0,0명,0,0,0,0,0,0,0,"2,200","2,200","3,000","1,100","8,500
(.00)","1,430",33,"14,300"
한식,전준수명품청기와감자탕,다니엘푸드,2016-07-01,4년 8개월,18,5명,18,2,0,0,0,"619,235","15,578","5,500","3,300","5,000","101,200","115,000
(.00)","2,200",132,"88,000"
한식,봉순이칼국수,봉순이칼국수,가맹사업 개시 전,0년 0개월,0,0명,0,0,0,0,0,0,0,"11,000","5,500","5,000","48,763","70,263
(.00)","1,111",66,"22,220"
한식,무쇠김치삼겹,무쇠김치감겹,2020-10-05,0년 5개월,0,0명,0,0,0,0,0,0,0,"11,000","2,200","3,000","64,860","81,060
(.00)","1,650",59,"29,700"
한식,원셰프의 행복식탁,굿푸드,가맹사업 개시 전,0년 0개월,0,6명,0,0,0,0,0,0,0,"9,900","2,200",0,"59,730","71,830
(.00)","1,650",66,"33,000"
한식,면장수,(주)장수에프앤비,2020-06-10,0년 9개월,0,0명,0,0,0,0,0,0,0,"11,000","11,000","2,000","88,000","112,000
(.00)","1,980",99,"59,400"
한식,볶지회관,(주)푸드박스,가맹사업 개시 전,0년 0개월,0,0명,0,0,0,0,0,0,0,0,0,0,836,"836
(.00)",0,0,0
한식,정지안,(주)고반에프앤비,2020-03-03,1년 0개월,0,9명,0,0,0,0,0,0,0,"11,000","3,300","10,000","100,500","124,800
(.00)","1,883",99,"56,500"
한식,해운대 153해물칼국수,(주)일오삼케이엔에프,가맹사업 개시 전,0년 0개월,0,0명,0,0,0,0,0,0,0,"11,000","3,300","3,000","138,500","155,800
(.00)","1,760",165,"88,000"
한식,호랭이혼밥대령,(주)여러분의주방,가맹사업 개시 전,0년 0개월,0,0명,0,0,0,0,0,0,0,"5,500","3,300","2,000","49,130","59,930
(.00)","1,540",33,"15,400"
한식,헬로부찌,(주)더조은생각,가맹사업 개시 전,0년 0개월,0,0명,0,0,0,0,0,0,0,"3,300","1,100","2,000","23,265","29,665
(.00)",825,26,"6,600"
한식,남도복국,(주)남도가,2017-07-08,3년 8개월,13,6명,13,9,0,0,0,"599,429","16,201","9,900","4,400","5,000","84,920","104,220
(.00)","1,650",82,"41,250"
한식,요리를담다,(주)바담,가맹사업 개시 전,0년 0개월,0,0명,0,0,0,0,0,0,0,"11,000","5,500","5,000","106,700","128,200
(.00)","2,200",99,"66,000"
한식,7전8기 8번식당,8번푸드,가맹사업 개시 전,0년 0개월,0,1명,0,0,0,0,0,0,0,"8,800","3,300","3,000","74,800","89,900
(.00)","1,650",66,"33,000"
