업종,브랜드,상호,평균매출액
한식,명품청기와감자탕,다니엘푸드,596829
한식,백청우칼국수,백청우칼국수,327932
한식,유가네 맑은곰탕,(주)유가네,91833
한식,울엄마 양평해장국,주식회사 울엄마푸드,262592
한식,풀잎채,(주)풀잎채,1418204
한식,나능이능이버섯백숙,(주)해우앤릴리스,319251
한식,한국밥,(주)굳길,508813
한식,삼훈 국민생아구찜,(주)백경푸드시스템,254300
한식,삼곱식당,삼곱푸드,532957
한식,막창도둑,(주)엠디푸드시스템,262880
한식,신마포갈매기,(주)디딤,382031
한식,본도시락,본아이에프(주),325775
한식,본비빔밥,본아이에프(주),198356
한식,본죽,본아이에프(주),201456
한식,본설렁탕,본아이에프(주),328316
한식,본죽&비빔밥 Cafe,본아이에프(주),314589
한식,금강산감자탕,농업회사법인 구삐(주),278091
한식,국민수육국밥&막국수,(주)썬푸드,55618
한식,나이스투미츄,아이에스 크리에이티브,201155
한식,의령,(주)의령한우국밥,319200
한식,놀부화덕족발,(주)놀부,122814
한식,놀부항아리갈비,(주)놀부,358925
한식,놀부맑은설렁탕담다,(주)놀부,171660
한식,착한전복,(주)두둑한행복,2040016
한식,굴마을낙지촌,(주)두둑한행복,306854
한식,단지막창,단지푸드시스템,306317
한식,수육국밥.보쌈전문점 더참맛수육국밥앤보쌈,(주)더참맛푸드,595098
한식,두찜,(주)기영에프앤비,202805
한식,백종원의원조쌈밥집,(주)더본코리아,564203
한식,돌배기집,(주)더본코리아,1100148
한식,새마을식당,(주)더본코리아,658682
한식,본가,(주)더본코리아,1163124
한식,백철판0410,(주)더본코리아,497231
한식,한신포차,(주)더본코리아,968553
한식,국사랑,케이씨컴퍼니,154887
한식,THE진국,(주)섬김과나눔,503677
한식,박가부대,원앤원(주),251741
한식,원할머니,원앤원(주),512254
한식,화덕초대파불고기,프랜차이즈새늘,275164
한식,코다리 밥상,(주)올댓컴퍼니,946949
한식,미스터오징어,미스앤미스터㈜,780750
한식,삼겹촌놈,솔담,409825
한식,대박통,대박통,230118
한식,남다른감자탕(男다른감子탕),(주)보하라,704941
한식,조가네갑오징어,(주)조앤이푸드,1329796
한식,교동전선생,(주)교동,277322
한식,육풍,(주)보담,851095
한식,미소육화,(주)지케이푸드,600747
한식,미스터보쌈5379,(주)푸디아,238774
한식,아빠곰탕,(주)프레솔,309626
한식,미쓰족발,보승FC,472520
한식,맛찬들왕소금구이,(주)맛찬들,1418874
한식,원가네 얼큰이,원가네푸드,171298
한식,철판요리포차판,(주)와이낫,78976
한식,통뼈감자탕,농업회사법인(주)자연식품,156703
한식,팔색삼겹살,(주)8푸드,365057
한식,콩불,(주)8푸드,200586
한식,박손녀의콩각시동태,(주)이림에프앤피,485348
한식,오복미역,(주)오복푸드,936499
한식,다담뜰 한식뷔페,(주)다담뜰,1289095
한식,청양일초,청해유통,265859
한식,뿔발,농업회사법인 (주)을과 함께,143789
한식,돈도니석쇠한판불고기,디오(DO)푸드시스템,171648
한식,킹콩부대찌개,(주)에스엘에프앤비,320245
한식,홍익궁중전통육개장,(주)홍익푸드,517746
한식,쌀눈쌀 현미누룽지,(주)엄마,59948
한식,논골집,정준유통,482768
한식,명장복집&24시명장복국,명장복집,452000
한식,만나고쪽갈비가,맛있는에프앤비(F&B),356728
한식,추담골남원추어탕,추사랑식품,205526
한식,수향그릴면가여름도겨울,제니스푸드시스템,194014
한식,만복한쭈꾸미낙지볶음,만복이쭈꾸미낙지볶음,837432
한식,바우네나주곰탕,지에프유통,202925
한식,로꼬로꼬,로꼬로꼬,426702
한식,망향비빔국수,블루밀,421158
한식,맵꼬만명태,해달에프앤씨,206617
한식,용추골미궁순대,칠연푸드시스템,211991
한식,애솔촌돼지,애솔촌돼지,268096
한식,숟가락반상 마실,마실,1244431
한식,현대옥,현대옥프랜차이즈,452009
