업종,브랜드,상호,최근 2년간 매출 증가율
기타 외국식,Emoi(에머이),(주)에머이,-40.08
기타 외국식,경성양꼬치,(주)천지,-9.81
기타 외국식,그린하노이,(주)바로에프에스,-10.93
기타 외국식,다구오,(주)이랜드이츠,-16.11
기타 외국식,도스마스,(주)도스마스,-17.8
기타 외국식,도스타코스,(주)도스타코스,-5.84
기타 외국식,램플러스,(주)제이에이치,-13.37
기타 외국식,르번미(Lebunmie),(주)세지푸드,-10.33
기타 외국식,리틀파파포(Little PAPA Pho),(주)피엠씨에프앤비,-31.69
기타 외국식,메콩타이,(주)메콩타이컴퍼니,-18.46
기타 외국식,미각양꼬치,(주)미각,-2.83
기타 외국식,미분당,(주)미분당,-8.02
기타 외국식,베트남노상식당,(주)트리플에이컴퍼니,-18.11
기타 외국식,생어거스틴,(주)늘솜,0.74
기타 외국식,아리가또맘마,(주)트렌차이즈,-19.23
기타 외국식,월남국수,(주)더블유엔씨,-29.88
기타 외국식,유생촌,(주)유생촌푸드,11.83
기타 외국식,일공공샤브,(주)일공공코리아,144.33
기타 외국식,철판떼기,(주)꾸버가,-66.72
기타 외국식,토마틸로,비컨홀딩스(주),7.97
기타 외국식,포로이,(주)포로이,-7.6
기타 외국식,포보스,(주)아시아푸드리퍼블릭,-6.51
기타 외국식,포앤반(PHO&BANH),(주)푸디플랜,-47.49
기타 외국식,하노이포베트남쌀국수,(주)티엘에프앤씨,-27.78
기타 외국식,하와이새우트럭,(주)하와이팩토리,-11.07
기타 외국식,핵스테이크,(주)핵가족,45.15
기타 외국식,호아빈,(주)오리엔탈푸드코리아,-10.23
기타 외식,33떡볶이,성백F&S,-8.88
기타 외식,55온족발,55온푸드,-4.08
기타 외식,79네수육국밥,79푸드컴퍼니(주),-0.81
기타 외식,MH백년갈비,(주)만호미트농업회사법인,-7.37
기타 외식,WITCH COFFEE & Witch's Stick,(주)위치,0.02
기타 외식,jay coffee,제이에이치푸드,-2.36
기타 외식,가마치통닭,(주)티지와이,103.16
기타 외식,가츠린,(주)쿡앤리빙,-13.94
기타 외식,갈매기먹짱,(주)씨엠월드에프앤씨,-17.68
기타 외식,강남교자,(주)강남로하스,-7.37
기타 외식,개성집,(주)바름,-4.31
기타 외식,경성함바그,(주)우리동네에프앤비,-10.44
기타 외식,고마담치킨,씨케이프랜즈,3.64
기타 외식,고반식당,(주)고반에프앤비,-0.45
기타 외식,고베규카츠,(주)더블유에스컴퍼니,-11.61
기타 외식,고양이부엌,(주)교동컴퍼니,10.79
기타 외식,곱선생,(주)리더스코리아코퍼레이션,20.45
기타 외식,곱창가,(주)푸드하우스,-5.79
기타 외식,곱창고,(주)제이엔케이패밀리,-24.65
기타 외식,곱창이야기,(주)기성피제이에스,-11.88
기타 외식,곱창제작소,(주)더나은에프앤디,-8.17
기타 외식,곱창폭식,(주)피플블라썸,-18.41
기타 외식,공룡고기,(주)다이노에프에스,-9.29
기타 외식,공릉동원조멸치국수,원조멸치국수,0.85
기타 외식,구슬함박,(주)구슬함박,1.98
기타 외식,구이가,(주)가업에프씨,-11.15
기타 외식,국대오리,(주)상건,-5.0
기타 외식,국민닭발,국민푸드,-2.55
기타 외식,굴세상,(유)굴세상,21.98
기타 외식,굴천지&초계국수,제이앤에스,-24.43
기타 외식,그라찌에,(주)풍전에프앤비,9.03
기타 외식,그램그램,(주)빅투,-8.85
기타 외식,김가네김밥,(주)김가네,-3.25
기타 외식,김덕후의 곱창조,(주)김덕후컴퍼니,-16.61
기타 외식,김부삼,(주)제이에스와이푸드,-9.34
기타 외식,김영희강남동태찜,(주)해피푸드,3.13
기타 외식,김이박부대찌개앤스테이크,(주)영광식품,71.35
기타 외식,깐깐한족발,(주)깐깐한패밀리,14.74
기타 외식,깨순이김밥,(유)대성물류,-4.46
기타 외식,꼬꼬씨참숯불닭갈비,(주)꼬꼬씨에프,161.38
기타 외식,꼬챙이,(주)제이에스인터푸드,-89.81
기타 외식,꽃담은소,(주)아리솔에프씨,31.82
기타 외식,나드리김밥,(주)나드리에프에스,-20.34
기타 외식,남가네설악추어탕,(주)미라지식품,-3.4
기타 외식,남도술상,(주)남도에프앤씨,5.65
기타 외식,노가리&BEER,(주)티엘에프앤씨,18.85
기타 외식,노군꼬치,(주)리앤브라더스컴퍼니,-10.63
기타 외식,노랑강정,(주)와이푸드,-3.93
기타 외식,농부애갈비,(주)농부애푸드,-15.33
기타 외식,농장사람들,농장사람들(주),-3.31
기타 외식,누룩꽃 피는날,(주)노른자팩토리,-1.97
기타 외식,니뽕내뽕,(주)제이테이블,-2.0
기타 외식,다영신토불이,농업회사법인(주)다영푸드,-8.83
기타 외식,다이닝센,(주)더센코리아,-4.91
기타 외식,다채,(주)폴스타파트너스,-16.27
기타 외식,닥엔돈스,FC푸드,-15.42
기타 외식,달곰김밥,달곰푸드,-4.56
기타 외식,달구지막창,(주)달구지푸드,0.47
기타 외식,달려라팬,달려라팬,-49.54
기타 외식,달테이블,(주)비본코리아,-4.96
기타 외식,닭이봉춘천닭갈비,진푸드서비스,2.99
기타 외식,닭익는마을,(주)지엔에스에프앤비,10.33
기타 외식,닭코치 비어선수,(주)알피,-32.73
기타 외식,담락참치일잔,(주)담락,29.66
기타 외식,대구반야월막창,(주)대구반야월막창,5.69
기타 외식,대구우야지막창,(주)대구우야지막창,-10.83
기타 외식,대패가1900,대패가1900,-9.08
기타 외식,더돈까스(the돈까스),(주)폴스타파트너스,-18.66
기타 외식,더오니기리플러스,(주)더원코리아,-14.48
기타 외식,더족발,더족발,-9.33
기타 외식,더코드,(주)더만듦,83.38
기타 외식,도쿄스테이크,해피브릿지협동조합,-19.45
기타 외식,돈까스짱,(주)먹깨비푸드,71.7
기타 외식,돈까스클럽,(주)일승식품,-5.29
기타 외식,돈수백,(주)푸디안,9.4
기타 외식,돈탐라제주,(주)돈탐라제주,-25.43
기타 외식,등갈비달인,(주)마스터푸드,74.71
기타 외식,디저트39,(주)디저트메이커스,-6.71
기타 외식,떼루와,(주)떼루와,-9.12
기타 외식,뚜띠쿠치나,지엘라온(주),5.09
기타 외식,라라코스트(raracost),(주)라라에프앤비(RARAF&B),0.07
기타 외식,라무진,(주)라무진,-3.61
기타 외식,로니로티,(주)엘케이푸드글로벌,25.67
기타 외식,리얼안심탕수육,(주)록원에프엔비,18.67
기타 외식,리원,(주)리원에프앤씨,34.34
기타 외식,마늘은약이다 보쌈&족발,(주)하늘푸드시스템,-2.35
기타 외식,마루샤브,마루앤F/D,-8.48
기타 외식,막창도둑,(주)엠디푸드시스템,-5.4
기타 외식,만복국수집,(주)은혜푸드,-4.78
기타 외식,말자네약속다방,(주)금탑에프앤비,-36.86
기타 외식,맛나슈퍼,(주)조은음식드림,6.74
기타 외식,맛있는 오칠구,(주)오칠구,-10.34
기타 외식,맛쭈서해쭈꾸미,(주)맛쭈,57.54
기타 외식,매반생면,매반생면,9.38
기타 외식,맥쓰(MEXX)세계치킨,맥쓰(MEXX)세계치킨,-1.93
기타 외식,메고지고,(주)라이스파이,-13.5
기타 외식,메밀나라,(주)메밀나라,6.26
기타 외식,멘무샤,(주)오리엔탈푸드코리아,-22.53
기타 외식,목우촌미소와돈,(주)농협목우촌,-35.49
기타 외식,목우촌웰빙마을,(주)농협목우촌,33.04
기타 외식,몽뜨레셰프,(주)제이앤피몽뜨레,-89.19
기타 외식,미방,㈜미방,8.43
기타 외식,미스코다리 미스터황태,쿠잉에프엔씨(CooingF&C),-39.01
기타 외식,미스터빠삭,(주)마코푸드시스템,-23.84
기타 외식,미쓰족발,보승FC,-9.45
기타 외식,미친고기,미친고기,1.79
기타 외식,밀겨울,(주)오니규,-26.54
기타 외식,바B큐맥덕,(주)상건,-5.0
기타 외식,바다양푼이 동태탕 찜,(주)예진희알이에프,0.04
기타 외식,바르미샤브샤브n칼국수,(주)즐거운세상,18.62
기타 외식,바르미샤브칼국수,(주)즐거운세상,-3.52
기타 외식,바오밥(BAOBAB),(주)바오밥아이엔씨,-8.49
기타 외식,바이젠하우스,(주)금강브루어리,-3.6
기타 외식,바푸리pho베트남쌀국수,(주)비피알,-21.06
기타 외식,박은자맛사랑,(주)다나,49.67
기타 외식,밥스테이크,(주)더꿈,-3.52
기타 외식,배가네동태탕찜전문점,배가네동태탕,55.81
기타 외식,배달5삼겹,(주)피에프에스,1.22
기타 외식,배달돼지,(주)배달돼지,-29.91
기타 외식,배터지는갈비,배터지는갈비,-50.36
기타 외식,백년회관서서갈비,(주)다이노에프에스,62.75
기타 외식,백정,(주)육칠팔,25.4
기타 외식,버거앤프라이즈(Burger&Friez),(주)비엔에프시리즈,-6.91
기타 외식,버금새우,(주)버금에프앤비,-7.39
기타 외식,병천황토방순대,(주)병천아우내식품,1.29
기타 외식,보돌미역,(주)비엔에스에프앤비,-9.89
기타 외식,보리네생고깃간,보리네협동조합,-74.76
기타 외식,봉구스밥버거,(주)부자이웃,9.14
기타 외식,부엉이돈가스,(주)부엉이에프엔비,-9.92
기타 외식,북촌손만두,(주)북촌사람들,0.96
기타 외식,불난술집,(주)화력발전소,-21.42
기타 외식,불닭발땡초동대문엽기떡볶이,(주)핫시즈너,1.44
기타 외식,불불이족발,(주)비앤비푸드시스템,-8.25
기타 외식,붐바타,해마로푸드서비스(주),72.34
기타 외식,브라운돈까스,(주)브라운에프앤씨,0.15
기타 외식,블랙스테이크,(주)더블유에스컴퍼니,-11.59
기타 외식,비에뜨반미,(주)비에뜨반미,-38.97
기타 외식,빛나는바다,(주)빛나는바다,11.46
기타 외식,빨봉분식,(주)비엔피푸드,-14.58
기타 외식,뽕잎사랑샤브칼국수보쌈냉면,(주)성신에프씨,2.93
기타 외식,뿅가야채곱창,원에프씨(주),-46.99
기타 외식,산청자매훠궈,산청자매훠궈,-4.49
기타 외식,삼겹시대1900,(주)비케이세븐코리아,-20.39
기타 외식,삼돈이,(주)알앤씨,7.18
기타 외식,삼육칠하우스,(주)유원에프앤비,-12.94
기타 외식,상 동양수산,(주)일센치,-9.97
기타 외식,샌드리아,(주)엘에이치지,51.8
기타 외식,샌드프레소,(주)동원홈푸드,62.48
기타 외식,샐러디,(주)샐러디,7.39
기타 외식,샤브향,(주)샤브향,-7.66
기타 외식,서병장대김이병,(주)백호에프앤비,12.67
기타 외식,서소문족발,서소문(주),-8.87
기타 외식,설원칡냉면&푸짐보쌈,입안에행복,8.37
기타 외식,설화참숯닭갈비,다원푸드,-7.68
기타 외식,세광교대이층집,(주)세광그린푸드리테일,-3.38
기타 외식,셰프의돈까스,이든푸드그룹,4.22
기타 외식,소담비빔국수,(주)태강에프앤씨,14.83
기타 외식,소담촌,(주)웰빙코리아,10.81
기타 외식,소한마리몽땅무쏘,(주)바른미트,-10.71
기타 외식,쇼부,(주)티엠홀딩스,-54.23
기타 외식,수내닭꼬치,(주)현풍,-21.56
기타 외식,수누리,(주)에스엔알푸드,0.38
기타 외식,순곱이네,(주)순곱이네프랜차이즈,17.67
기타 외식,순남시래기,바른창업(주),1.45
기타 외식,숨비소리,(주)춘자외식,-27.11
기타 외식,숯불의 향기,해피소스,-13.93
기타 외식,쉐프의부대찌개,(주)케이더블유프랜차이즈,-17.37
기타 외식,스푼더마켓,(주)오리지날스푼,-8.1
기타 외식,신도세기,더에스지파트너스(주),22.64
기타 외식,신복관,신복관,1.46
기타 외식,신사소곱창,(주)에스에스에프앤비,-7.14
기타 외식,심야스테이크,심야,-16.5
