상호,대표자,업종,법인설립등기일,사업자등록일,대표번호,대표팩스 번호,주소,사업자유형,법인등록번호,사업자등록번호,2020년 자산,2020년 부채,2020년 자본,2020년 매출액,2020년 영업이익,2020년 당기순이익,2019년 자산,2019년 부채,2019년 자본,2019년 매출액,2019년 영업이익,2019년 당기순이익,2018년 자산,2018년 부채,2018년 자본,2018년 매출액,2018년 영업이익,2018년 당기순이익,2017년 자산,2017년 부채,2017년 자본,2017년 매출액,2017년 영업이익,2017년 당기순이익,2020년 개점,2020년 폐지,2020년 명의변경,2019년 개점,2019년 폐지,2019년 명의변경,2018년 개점,2018년 폐지,2018년 명의변경,2017년 개점,2017년 폐지,2017년 명의변경,공정거래위원회의 시정조치,민사소송 패소 및 민사상 화해,형의 선고,
나쿤요리연구소,나종국,치킨,..,2020.11.11,032  -  818  -  3883,  -    -  ,우 : 21929 인천광역시 연수구 샘말로8번길 13-8 101호,개인,  -  ,390  -  10  -  01556,0,0,0,0,0,0,0,0,0,28585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
엑시트피자,배장주,서양식,..,2020.11.05,063  -  226  -  3700,  -    -  ,우 : 55058 전라북도 전주시 완산구 우전2길 65 1층 101호,개인,  -  ,268  -  06  -  01631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
아이언푸드,조민식,한식,..,2020.12.21,010  -  3583  -  6040,0504  -  157  -  6040,우 : 46711 부산광역시 강서구 제도로 807,개인,  -  ,444  -  36  -  00932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
(주)국민키친,김진주,기타 외식,2020.03.12,2020.03.12,031  -  335  -  2008,031  -  335  -  5020,우 : 17149 경기도 용인시 처인구 고림로 174 에이동 2층,법인,134511  -  0444311,461  -  87  -  01530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
(주)국민키친,김진주,기타 외식,2020.03.12,2020.03.12,031  -  335  -  2008,031  -  335  -  5020,우 : 17149 경기도 용인시 처인구 고림로 174 에이동 2층,법인,134511  -  0444311,461  -  87  -  01530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
(주)국민키친,김진주,기타 외식,2020.03.12,2020.03.12,031  -  335  -  2008,031  -  335  -  5020,우 : 17149 경기도 용인시 처인구 고림로 174 에이동 2층,법인,134511  -  0444311,461  -  87  -  01530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
(주)국민키친,김진주,기타 외식,2020.03.12,2020.03.12,031  -  335  -  2008,031  -  335  -  5020,우 : 17149 경기도 용인시 처인구 고림로 174 에이동 2층,법인,134511  -  0444311,461  -  87  -  01530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
우리FNB,안선홍,분식,..,2020.12.01,02  -  1800  -  7797,032  -  720  -  5452,우 : 21990 인천광역시 연수구 송도미래로 30 디동 2205호 일부,개인,  -  ,670  -  07  -  01675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
우리FNB,안선홍,한식,..,2020.12.01,02  -  1800  -  7797,032  -  720  -  5452,우 : 21990 인천광역시 연수구 송도미래로 30 디동 2205호 일부,개인,  -  ,824  -  32  -  00561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
불철주야컴퍼니,이수진,기타 외식,..,2019.09.16,  -  1899  -  3359,02  -  0000  -  0000,우 : 62409 광주광역시 광산구 평동매화길 53-49 (지죽동),개인,  -  ,849  -  24  -  00925,0,0,0,0,0,0,-2982,-2982,0,0,-2982,-2982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,
돼지생갈비상회,강희식,한식,..,2018.06.20,052  -  256  -  2200,  -    -  ,우 : 44721 울산광역시 남구 달삼로 62 1층(달동),개인,  -  ,661  -  12  -  00870,0,0,0,0,0,0,0,0,0,490089,0,0,0,0,0,288355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
여기다양꼬치,이옥,중식,..,2013.11.19,055  -  759  -  7212,055  -  744  -  5512,우 : 52796 경상남도 진주시 돗골로 119-1 1층,개인,  -  ,613  -  19  -  59819,0,0,0,0,0,0,0,0,0,364134,0,0,0,0,0,402878,0,0,0,0,0,493639,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
(주)지에프코리아,이병위,기타 외식,2012.10.10,2012.09.03,032  -  508  -  9592,032  -  505  -  3735,"우 : 21414 인천광역시 부평구 경인로1009번길 15 (부평동, 1층)",법인,120111  -  0629818,122  -  86  -  27924,0,0,0,0,0,0,343811,153330,190481,2220187,132992,140098,186388,136006,50382,1573401,54939,62881,163416,175915,-12499,1355809,160,1439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
(주)돕는사람들,유민호,기타 외식,2016.07.15,2016.07.22,02  -  302  -  4780,00  -  000  -  0000,우 : 13112 경기도 성남시 수정구 복정로 135 3층,법인,134211  -  0179021,385  -  81  -  00540,0,0,0,0,0,0,5348791,6375278,-1026487,19000804,-559724,-1012988,571359,330871,240488,2719620,4489,89600,618137,467250,150887,3713985,11635,654,0,0,0,2,16,1,11,15,0,10,13,5,0,0,0,
신포주막since1991,강갑석,주점,..,2019.05.04,02  -  0000  -  0000,000  -  0000  -  0000,우 : 22314 인천광역시 중구 신포로 25-1 1층,개인,  -  ,869  -  21  -  00990,0,0,0,0,0,0,0,0,0,139265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
(주)디딤,이범택,한식,2015.03.30,2015.03.30,032  -  819  -  6870,032  -  815  -  6870,우 : 21655 인천광역시 남동구 논현로46번길 39-24 .,법인,110111  -  5680643,896  -  81  -  00036,0,0,0,0,0,0,117030401,84270123,32760278,125265878,3493797,1357910,69675606,36182072,33493534,97013238,4447459,2609675,54140507,22805623,31334884,68808885,1528298,2319186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
(유)신포우리식품,박양진,분식,1993.12.29,1994.01.01,063  -  546  -  7501,063  -  546  -  8853,"우 : 54353 전라북도 김제시 황산면 용마로 429-9 (용마리, 황산농공단지 내)",법인,214814  -  0001047,405  -  81  -  04103,0,0,0,0,0,0,16726589,8147425,8579164,9927631,151165,140158,16811193,8439004,8372189,10522550,77069,3871,15518648,8435133,7083515,10522673,162840,75023,0,0,0,13,11,5,9,11,5,3,5,6,0,0,0,
(주)향기내는사람들,임정택,커피,2010.08.26,2010.09.13,054  -  262  -  4620,054  -  262  -  4628,우 : 37596 경상북도 포항시 북구 장량로226번길 6 2층(양덕동),법인,171711  -  0090074,506  -  81  -  73091,0,0,0,0,0,0,518047,437008,81039,2148677,-226530,6377,534346,459685,74661,1385903,-193403,5263,390625,321228,69397,1409061,-87117,-42240,0,0,0,3,0,0,1,2,0,2,0,0,0,0,0,
