행정구역,인구수,,,,
서울특별시 종로구 청운효자동(1111051500),"12,095",,,,
서울특별시 종로구 사직동(1111053000),"9,543",,,,
서울특별시 종로구 삼청동(1111054000),"2,530",,,,
서울특별시 종로구 부암동(1111055000),"9,819",,,,
서울특별시 종로구 평창동(1111056000),"18,308",,,,
서울특별시 종로구 무악동(1111057000),"8,380",,,,
서울특별시 종로구 교남동(1111058000),"10,230",,,,
서울특별시 종로구 가회동(1111060000),"4,203",,,,
서울특별시 종로구 종로1.2.3.4가동(1111061500),"7,227",,,,
서울특별시 종로구 종로5.6가동(1111063000),"5,264",,,,
서울특별시 종로구 이화동(1111064000),"7,399",,,,
서울특별시 종로구 혜화동(1111065000),"16,711",,,,
서울특별시 종로구 창신제1동(1111067000),"5,054",,,,
서울특별시 종로구 창신제2동(1111068000),"8,198",,,,
서울특별시 종로구 창신제3동(1111069000),"6,752",,,,
서울특별시 종로구 숭인제1동(1111070000),"6,041",,,,
서울특별시 종로구 숭인제2동(1111071000),"9,542",,,,
서울특별시 중구 소공동(1114052000),"2,143",,,,
서울특별시 중구 회현동(1114054000),"5,114",,,,
서울특별시 중구 명동(1114055000),"2,930",,,,
서울특별시 중구 필동(1114057000),"4,015",,,,
서울특별시 중구 장충동(1114058000),"4,566",,,,
서울특별시 중구 광희동(1114059000),"5,343",,,,
서울특별시 중구 을지로동(1114060500),"1,796",,,,
서울특별시 중구 신당동(1114061500),"7,680",,,,
서울특별시 중구 다산동(1114062500),"14,141",,,,
서울특별시 중구 약수동(1114063500),"16,920",,,,
서울특별시 중구 청구동(1114064500),"13,894",,,,
서울특별시 중구 신당제5동(1114065000),"10,501",,,,
서울특별시 중구 동화동(1114066500),"10,586",,,,
서울특별시 중구 황학동(1114067000),"12,613",,,,
서울특별시 중구 중림동(1114068000),"12,310",,,,
서울특별시 용산구 후암동(1117051000),"17,360",,,,
서울특별시 용산구 용산2가동(1117052000),"9,879",,,,
서울특별시 용산구 남영동(1117053000),"7,544",,,,
서울특별시 용산구 청파동(1117055500),"19,700",,,,
서울특별시 용산구 원효로제1동(1117056000),"16,099",,,,
서울특별시 용산구 원효로제2동(1117057000),"14,140",,,,
서울특별시 용산구 효창동(1117058000),"10,251",,,,
서울특별시 용산구 용문동(1117059000),"12,207",,,,
서울특별시 용산구 한강로동(1117062500),"21,596",,,,
서울특별시 용산구 이촌제1동(1117063000),"27,739",,,,
서울특별시 용산구 이촌제2동(1117064000),"8,547",,,,
서울특별시 용산구 이태원제1동(1117065000),"6,822",,,,
서울특별시 용산구 이태원제2동(1117066000),"9,193",,,,
서울특별시 용산구 한남동(1117068500),"20,778",,,,
서울특별시 용산구 서빙고동(1117069000),"13,105",,,,
서울특별시 용산구 보광동(1117070000),"14,053",,,,
서울특별시 성동구 (1120000000),"291,906",,,,
서울특별시 성동구 왕십리제2동(1120052000),"16,922",,,,
서울특별시 성동구 왕십리도선동(1120053500),"26,798",,,,
서울특별시 성동구 마장동(1120054000),"22,636",,,,
서울특별시 성동구 사근동(1120055000),"11,956",,,,
서울특별시 성동구 행당제1동(1120056000),"14,089",,,,
서울특별시 성동구 행당제2동(1120057000),"23,836",,,,
서울특별시 성동구 응봉동(1120058000),"15,671",,,,
서울특별시 성동구 금호1가동(1120059000),"15,634",,,,
서울특별시 성동구 금호2.3가동(1120061500),"23,187",,,,
서울특별시 성동구 금호4가동(1120062000),"14,589",,,,
서울특별시 성동구 옥수동(1120064500),"26,489",,,,
서울특별시 성동구 성수1가제1동(1120065000),"16,869",,,,
서울특별시 성동구 성수1가제2동(1120066000),"13,191",,,,
서울특별시 성동구 성수2가제1동(1120067000),"16,381",,,,
서울특별시 성동구 성수2가제3동(1120069000),"11,124",,,,
서울특별시 성동구 송정동(1120072000),"10,633",,,,
서울특별시 성동구 용답동(1120079000),"11,901",,,,
서울특별시 광진구 (1121500000),"343,392",,,,
서울특별시 광진구 화양동(1121571000),"22,746",,,,
서울특별시 광진구 군자동(1121573000),"19,793",,,,
서울특별시 광진구 중곡제1동(1121574000),"15,561",,,,
서울특별시 광진구 중곡제2동(1121575000),"21,734",,,,
서울특별시 광진구 중곡제3동(1121576000),"16,451",,,,
서울특별시 광진구 중곡제4동(1121577000),"28,962",,,,
서울특별시 광진구 능동(1121578000),"11,423",,,,
서울특별시 광진구 광장동(1121581000),"35,180",,,,
서울특별시 광진구 자양제1동(1121582000),"22,591",,,,
서울특별시 광진구 자양제2동(1121583000),"25,308",,,,
서울특별시 광진구 자양제3동(1121584000),"28,530",,,,
서울특별시 광진구 자양제4동(1121584700),"17,529",,,,
서울특별시 광진구 구의제1동(1121585000),"21,862",,,,
서울특별시 광진구 구의제2동(1121586000),"26,666",,,,
서울특별시 광진구 구의제3동(1121587000),"29,056",,,,
서울특별시 동대문구 용신동(1123053600),"31,006",,,,
서울특별시 동대문구 제기동(1123054500),"24,690",,,,
서울특별시 동대문구 전농제1동(1123056000),"29,536",,,,
서울특별시 동대문구 전농제2동(1123057000),"18,954",,,,
서울특별시 동대문구 답십리제1동(1123060000),"29,052",,,,
서울특별시 동대문구 답십리제2동(1123061000),"28,842",,,,
서울특별시 동대문구 장안제1동(1123065000),"38,445",,,,
서울특별시 동대문구 장안제2동(1123066000),"32,698",,,,
서울특별시 동대문구 청량리동(1123070500),"19,256",,,,
서울특별시 동대문구 회기동(1123071000),"10,397",,,,
서울특별시 동대문구 휘경제1동(1123072000),"13,667",,,,
서울특별시 동대문구 휘경제2동(1123073000),"24,114",,,,
서울특별시 동대문구 이문제1동(1123074000),"18,015",,,,
서울특별시 동대문구 이문제2동(1123075000),"20,203",,,,
서울특별시 중랑구 면목제2동(1126052000),"24,704",,,,
서울특별시 중랑구 면목제4동(1126054000),"19,224",,,,
서울특별시 중랑구 면목제5동(1126055000),"14,601",,,,
서울특별시 중랑구 면목본동(1126056500),"34,247",,,,
서울특별시 중랑구 면목제7동(1126057000),"22,143",,,,
서울특별시 중랑구 면목제3.8동(1126057500),"25,358",,,,
서울특별시 중랑구 상봉제1동(1126058000),"24,639",,,,
서울특별시 중랑구 상봉제2동(1126059000),"20,113",,,,
서울특별시 중랑구 중화제1동(1126060000),"20,058",,,,
서울특별시 중랑구 중화제2동(1126061000),"25,267",,,,
서울특별시 중랑구 묵제1동(1126062000),"35,072",,,,
서울특별시 중랑구 묵제2동(1126063000),"19,318",,,,
서울특별시 중랑구 망우본동(1126065500),"30,229",,,,
서울특별시 중랑구 망우제3동(1126066000),"16,979",,,,
서울특별시 중랑구 신내1동(1126068000),"39,098",,,,
서울특별시 중랑구 신내2동(1126069000),"20,991",,,,
서울특별시 성북구 (1129000000),"434,826",,,,
서울특별시 성북구 성북동(1129052500),"16,711",,,,
서울특별시 성북구 삼선동(1129055500),"23,153",,,,
서울특별시 성북구 동선동(1129057500),"15,507",,,,
서울특별시 성북구 돈암제1동(1129058000),"14,983",,,,
서울특별시 성북구 돈암제2동(1129059000),"24,322",,,,
서울특별시 성북구 안암동(1129060000),"14,944",,,,
서울특별시 성북구 보문동(1129061000),"15,556",,,,
서울특별시 성북구 정릉제1동(1129062000),"18,413",,,,
서울특별시 성북구 정릉제2동(1129063000),"23,261",,,,
서울특별시 성북구 정릉제3동(1129064000),"15,186",,,,
서울특별시 성북구 정릉제4동(1129065000),"25,295",,,,
서울특별시 성북구 길음제1동(1129066000),"35,766",,,,
서울특별시 성북구 길음제2동(1129068500),"16,642",,,,
서울특별시 성북구 종암동(1129070500),"39,187",,,,
서울특별시 성북구 월곡제1동(1129071500),"26,668",,,,
서울특별시 성북구 월곡제2동(1129072500),"19,720",,,,
서울특별시 성북구 장위제1동(1129076000),"24,100",,,,
서울특별시 성북구 장위제2동(1129077000),"13,716",,,,
서울특별시 성북구 장위제3동(1129078000),"16,398",,,,
서울특별시 성북구 석관동(1129081000),"35,298",,,,
