id,do,si(gu),dong,population
1,서울특별시,종로구,청운효자동,12095
2,서울특별시,종로구,사직동,9543
3,서울특별시,종로구,삼청동,2530
4,서울특별시,종로구,부암동,9819
5,서울특별시,종로구,평창동,18308
6,서울특별시,종로구,무악동,8380
7,서울특별시,종로구,교남동,10230
8,서울특별시,종로구,가회동,4203
9,서울특별시,종로구,종로1.2.3.4가동,7227
10,서울특별시,종로구,종로5.6가동,5264
11,서울특별시,종로구,이화동,7399
12,서울특별시,종로구,혜화동,16711
13,서울특별시,종로구,창신1동,5054
14,서울특별시,종로구,창신2동,8198
15,서울특별시,종로구,창신3동,6752
16,서울특별시,종로구,숭인1동,6041
17,서울특별시,종로구,숭인2동,9542
18,서울특별시,중구,소공동,2143
19,서울특별시,중구,회현동,5114
20,서울특별시,중구,명동,2930
21,서울특별시,중구,필동,4015
22,서울특별시,중구,장충동,4566
23,서울특별시,중구,광희동,5343
24,서울특별시,중구,을지로동,1796
25,서울특별시,중구,신당동,7680
26,서울특별시,중구,다산동,14141
27,서울특별시,중구,약수동,16920
28,서울특별시,중구,청구동,13894
29,서울특별시,중구,신당5동,10501
30,서울특별시,중구,동화동,10586
31,서울특별시,중구,황학동,12613
32,서울특별시,중구,중림동,12310
33,서울특별시,용산구,후암동,17360
34,서울특별시,용산구,용산2가동,9879
35,서울특별시,용산구,남영동,7544
36,서울특별시,용산구,청파동,19700
37,서울특별시,용산구,원효로1동,16099
38,서울특별시,용산구,원효로2동,14140
39,서울특별시,용산구,효창동,10251
40,서울특별시,용산구,용문동,12207
41,서울특별시,용산구,한강로동,21596
42,서울특별시,용산구,이촌1동,27739
43,서울특별시,용산구,이촌2동,8547
44,서울특별시,용산구,이태원1동,6822
45,서울특별시,용산구,이태원2동,9193
46,서울특별시,용산구,한남동,20778
47,서울특별시,용산구,서빙고동,13105
48,서울특별시,용산구,보광동,14053
49,서울특별시,성동구,왕십리2동,16922
50,서울특별시,성동구,왕십리도선동,26798
51,서울특별시,성동구,마장동,22636
52,서울특별시,성동구,사근동,11956
53,서울특별시,성동구,행당1동,14089
54,서울특별시,성동구,행당2동,23836
55,서울특별시,성동구,응봉동,15671
56,서울특별시,성동구,금호1가동,15634
57,서울특별시,성동구,금호2.3가동,23187
58,서울특별시,성동구,금호4가동,14589
59,서울특별시,성동구,옥수동,26489
60,서울특별시,성동구,성수1가1동,16869
61,서울특별시,성동구,성수1가2동,13191
62,서울특별시,성동구,성수2가1동,16381
63,서울특별시,성동구,성수2가3동,11124
64,서울특별시,성동구,송정동,10633
65,서울특별시,성동구,용답동,11901
66,서울특별시,광진구,화양동,22746
67,서울특별시,광진구,군자동,19793
68,서울특별시,광진구,중곡1동,15561
69,서울특별시,광진구,중곡2동,21734
70,서울특별시,광진구,중곡3동,16451
71,서울특별시,광진구,중곡4동,28962
72,서울특별시,광진구,능동,11423
73,서울특별시,광진구,광장동,35180
74,서울특별시,광진구,자양1동,22591
75,서울특별시,광진구,자양2동,25308
76,서울특별시,광진구,자양3동,28530
77,서울특별시,광진구,자양4동,17529
78,서울특별시,광진구,구의1동,21862
79,서울특별시,광진구,구의2동,26666
80,서울특별시,광진구,구의3동,29056
81,서울특별시,동대문구,용신동,31006
82,서울특별시,동대문구,제기동,24690
83,서울특별시,동대문구,전농1동,29536
84,서울특별시,동대문구,전농2동,18954
85,서울특별시,동대문구,답십리1동,29052
86,서울특별시,동대문구,답십리2동,28842
87,서울특별시,동대문구,장안1동,38445
88,서울특별시,동대문구,장안2동,32698
89,서울특별시,동대문구,청량리동,19256
90,서울특별시,동대문구,회기동,10397
91,서울특별시,동대문구,휘경1동,13667
92,서울특별시,동대문구,휘경2동,24114
93,서울특별시,동대문구,이문1동,18015
94,서울특별시,동대문구,이문2동,20203
95,서울특별시,중랑구,면목2동,24704
96,서울특별시,중랑구,면목4동,19224
97,서울특별시,중랑구,면목5동,14601
98,서울특별시,중랑구,면목본동,34247
99,서울특별시,중랑구,면목7동,22143
100,서울특별시,중랑구,면목3.8동,25358
101,서울특별시,중랑구,상봉1동,24639
102,서울특별시,중랑구,상봉2동,20113
103,서울특별시,중랑구,중화1동,20058
104,서울특별시,중랑구,중화2동,25267
105,서울특별시,중랑구,묵1동,35072
106,서울특별시,중랑구,묵2동,19318
107,서울특별시,중랑구,망우본동,30229
108,서울특별시,중랑구,망우3동,16979
109,서울특별시,중랑구,신내1동,39098
110,서울특별시,중랑구,신내2동,20991
111,서울특별시,성북구,성북동,16711
112,서울특별시,성북구,삼선동,23153
113,서울특별시,성북구,동선동,15507
114,서울특별시,성북구,돈암1동,14983
115,서울특별시,성북구,돈암2동,24322
116,서울특별시,성북구,안암동,14944
117,서울특별시,성북구,보문동,15556
118,서울특별시,성북구,정릉1동,18413
119,서울특별시,성북구,정릉2동,23261
120,서울특별시,성북구,정릉3동,15186
121,서울특별시,성북구,정릉4동,25295
122,서울특별시,성북구,길음1동,35766
123,서울특별시,성북구,길음2동,16642
124,서울특별시,성북구,종암동,39187
125,서울특별시,성북구,월곡1동,26668
126,서울특별시,성북구,월곡2동,19720
127,서울특별시,성북구,장위1동,24100
128,서울특별시,성북구,장위2동,13716
129,서울특별시,성북구,장위3동,16398
130,서울특별시,성북구,석관동,35298
131,서울특별시,강북구,삼양동,24196
132,서울특별시,강북구,미아동,21974
133,서울특별시,강북구,송중동,29933
134,서울특별시,강북구,송천동,27040
135,서울특별시,강북구,삼각산동,31503
136,서울특별시,강북구,번1동,18706
137,서울특별시,강북구,번2동,16213
138,서울특별시,강북구,번3동,17209
139,서울특별시,강북구,수유1동,20963
140,서울특별시,강북구,수유2동,21441
141,서울특별시,강북구,수유3동,23276
142,서울특별시,강북구,우이동,20691
143,서울특별시,강북구,인수동,30933
144,서울특별시,도봉구,창1동,25013
145,서울특별시,도봉구,창2동,29385
146,서울특별시,도봉구,창3동,14153
147,서울특별시,도봉구,창4동,26960
148,서울특별시,도봉구,창5동,24944
149,서울특별시,도봉구,도봉1동,21333
150,서울특별시,도봉구,도봉2동,27401
151,서울특별시,도봉구,쌍문1동,21690
152,서울특별시,도봉구,쌍문2동,18921
153,서울특별시,도봉구,쌍문3동,16734
154,서울특별시,도봉구,쌍문4동,18928
155,서울특별시,도봉구,방학1동,28717
156,서울특별시,도봉구,방학2동,19946
157,서울특별시,도봉구,방학3동,27592
158,서울특별시,노원구,월계1동,21973
159,서울특별시,노원구,월계2동,27195
160,서울특별시,노원구,월계3동,30259
161,서울특별시,노원구,공릉1동,37312
162,서울특별시,노원구,공릉2동,39315
163,서울특별시,노원구,하계1동,27164
164,서울특별시,노원구,하계2동,22418
165,서울특별시,노원구,중계본동,24571
166,서울특별시,노원구,중계1동,27121
167,서울특별시,노원구,중계4동,20450
168,서울특별시,노원구,중계2.3동,34931
169,서울특별시,노원구,상계1동,38725
170,서울특별시,노원구,상계2동,20304
171,서울특별시,노원구,상계3.4동,26842
172,서울특별시,노원구,상계5동,24375
173,서울특별시,노원구,상계6.7동,33125
174,서울특별시,노원구,상계8동,22740
175,서울특별시,노원구,상계9동,20862
176,서울특별시,노원구,상계10동,18596
177,서울특별시,은평구,녹번동,37143
178,서울특별시,은평구,불광1동,39168
179,서울특별시,은평구,불광2동,28161
180,서울특별시,은평구,갈현1동,22791
181,서울특별시,은평구,갈현2동,28612
182,서울특별시,은평구,구산동,32323
183,서울특별시,은평구,대조동,27186
184,서울특별시,은평구,응암1동,30773
185,서울특별시,은평구,응암2동,27572
186,서울특별시,은평구,응암3동,24897
187,서울특별시,은평구,역촌동,46127
188,서울특별시,은평구,신사1동,27309
189,서울특별시,은평구,신사2동,20591
190,서울특별시,은평구,증산동,15144
191,서울특별시,은평구,수색동,11230
192,서울특별시,은평구,진관동,56474
193,서울특별시,서대문구,천연동,17366
194,서울특별시,서대문구,북아현동,16366
195,서울특별시,서대문구,충현동,20597
196,서울특별시,서대문구,신촌동,19229
197,서울특별시,서대문구,연희동,35723
198,서울특별시,서대문구,홍제1동,24004
199,서울특별시,서대문구,홍제3동,15576
200,서울특별시,서대문구,홍제2동,14003
201,서울특별시,서대문구,홍은1동,22867
202,서울특별시,서대문구,홍은2동,26772
203,서울특별시,서대문구,남가좌1동,15634
204,서울특별시,서대문구,남가좌2동,29704
205,서울특별시,서대문구,북가좌1동,18330
206,서울특별시,서대문구,북가좌2동,32311
207,서울특별시,마포구,아현동,25549
208,서울특별시,마포구,공덕동,37549
209,서울특별시,마포구,도화동,21443
210,서울특별시,마포구,용강동,21735
211,서울특별시,마포구,대흥동,14415
212,서울특별시,마포구,염리동,12535
213,서울특별시,마포구,신수동,22839
214,서울특별시,마포구,서강동,24868
215,서울특별시,마포구,서교동,25034
216,서울특별시,마포구,합정동,17735
217,서울특별시,마포구,망원1동,20601
218,서울특별시,마포구,망원2동,18794
219,서울특별시,마포구,연남동,15404
220,서울특별시,마포구,성산1동,19134
221,서울특별시,마포구,성산2동,39978
222,서울특별시,마포구,상암동,30905
223,서울특별시,양천구,목1동,31274
224,서울특별시,양천구,목2동,30212
225,서울특별시,양천구,목3동,22242
226,서울특별시,양천구,목4동,25768
227,서울특별시,양천구,목5동,41823
228,서울특별시,양천구,신월1동,20689
229,서울특별시,양천구,신월2동,20987
230,서울특별시,양천구,신월3동,15452
231,서울특별시,양천구,신월4동,18225
