업종,브랜드,상호,평균매출액
한식,킹콩부대찌개,(주)에스엘에프앤비,290084
한식,제주울어멍해장국,(주)바론에프앤비,306561
한식,호수꼬치,(주)호수코리아,229571
한식,꽃마름,(주)예울에프씨,712059
한식,본도시락,본아이에프(주),329856
한식,본죽&비빔밥cafe,본아이에프(주),341200
한식,만족오향족발,(주)만점족,495314
한식,곽만근갈비탕,(주)곽푸드에프씨,729959
한식,조이박꽃도새기,조이박푸드,351743
한식,양철북,(주)마시명가,283253
한식,발빠닭,(주)어나더푸드컬쳐,343137
한식,3일국밥,(주)펜톤,306742
한식,"소담애 족발,보쌈",(주)에브릿,381525
한식,어명이요,(주)에브릿,242609
한식,이화수전통육개장,(주)에브릿,511748
한식,삼육오 족발찜닭,(주)자연가득,457435
한식,돌깨마을 맷돌순두부,(주)자연가득,498395
한식,샤브보트,(주)채선당,461523
한식,채선당,(주)채선당,606866
한식,맛나감자탕,리브가푸드시스템(주),578106
한식,전주24시참편한39콩나물국밥,(주)참편한칭구,321008
한식,맛찬들왕소금구이,(주)맛찬들,1226870
한식,우거지품은순대국,(주)우품,409818
한식,일미리금계찜닭,(주)일미리,199130
한식,국사랑,케이씨컴퍼니,189423
한식,육첩반상,(주)대세에프엔비,338387
한식,청춘연가,(주)에쓰와이프랜차이즈,326006
한식,소공동뚝배기집,(주)오백미라클,345861
한식,서울전통육개장,(주)엠제이에프앤씨,375000
한식,다깡,다감,417317
한식,빚은,(주)에스피씨삼립,201147
한식,남다른감자탕(男다른감子탕),(주)보하라,707217
한식,육회본가,(주)본가에프앤비,256662
한식,로꼬로꼬,로꼬로꼬,486245
한식,배달삼겹직구삼,(주)모두여는세상,434980
한식,보승회관,보승FC,469400
한식,배부장찌개,(주)맛있는에프앤비,384308
한식,최용석의 뼈큰청진동해장국,(주)뚝심푸드,726468
한식,뼈큰감자탕,(주)뚝심푸드,486909
한식,배달삼겹 돼지되지,(주)정담에프앤비,276760
한식,봉할매김치찌개불백,(주)씨앤에이치코퍼레이션,239823
한식,놀부화덕족발,(주)놀부,145742
한식,놀부부대찌개,(주)놀부,240236
한식,놀부보쌈족발,(주)놀부,217680
한식,놀부항아리갈비,(주)놀부,338048
한식,코다리밥상,(주)올댓컴퍼니,782000
한식,진한설렁탕담다,(주)놀부,304247
한식,자성화 맛집 코다리네,(주)자성화,431190
한식,조춘식동태탕찜,(주)조앤비컨설팅,172832
한식,본앤본,본앤본(주),143102
한식,철뚝집,(주)브라더푸드시스템,418094
한식,토정삼계탕,(주)우리모메,522088
한식,오븐에 빠진 막창,오빠막창,146229
한식,고기듬뿍 대왕비빔밥,(주)더플러스,222788
한식,대동,(유)대동상회,265765
한식,안성깍뚜기,(주)푸름,293150
한식,번지농장돌판아구찜,유한회사번지농장푸드,568808
한식,일오닭갈비,(주)일오,231552
한식,나능이,유정티앤에프(주),477352
한식,어부의 밥상,(주)라온유통,1098165
한식,땅스부대찌개,(주)티에스푸드,178262
한식,담소 소사골 순대 육개장,(주)담소이야기,472288
한식,백채,(주)심플맨,258806
한식,신사부대찌개&품격삼겹살,(주)신사의품격,233547
한식,본설,본아이에프(주),264364
한식,돈갈비,(주)현백,101798
한식,무봉리토종순대국,무봉리토종순대국체인본부,195444
한식,명륜진사갈비,(주)명륜당,526923
한식,가장맛있는족발,(주)가장맛있는족발,635419
한식,미식가의구이,(주)태인에프앤비,409073
한식,닭발먹은새우,(주)비에프푸드,275708
한식,육미명가옛날아우내순대&보쌈,(주)병천아우내식품,147727
한식,집으로돼지,(주)메이에프앤에스,217664
한식,반할맛으로 값어치하는 소고깃집,(주)끼니,902298
한식,신단설렁탕,진대푸드,155378
한식,교동면옥,(주)교동F&B,909111
한식,천사곱창,(주)식스텐비즈,493687
한식,삼삼이네,삼삼하우스,319103
한식,육쌈냉면,(주)육쌈,418106
한식,정광석 항아리보쌈,더나은푸드,615057
한식,얌샘김밥,(주)얌샘,277824
한식,맛깔참죽,(주)맛깔,123946
한식,콩불,(주)8푸드,270172
한식,팔색삼겹살,(주)8푸드,783439
한식,박가부대,원앤원(주),224079
한식,원할머니,원앤원(주),478884
한식,사계진미 숯불닭갈비,(주)준인터(JunInter),98127
한식,한방전주콩나물국밥,(주)한사랑푸드,384119
한식,큰맘할매순대국,(주)보강엔터프라이즈,223703
한식,"고기,원칙",(주)반반한행복,678798
한식,누리마을감자탕,(주)영일유통,344546
한식,육대장,(주)육대장,452500
한식,육회먹은연어,(주)비에프푸드,424037
한식,2代맛태,(주)2대맛태,338100
한식,본가어탕,본가어탕,256733
한식,조선닭볶음탕,(주)잭팟,290838
한식,한솥,(주)한솥,334846
한식,삼훈국민생아구찜,(주)백경푸드시스템,322820
한식,시루향기,(주)향기나는사람들,397845
한식,한옥마을전주비빔밥,(주)풍년에프씨,269810
한식,신의주부대찌개,미트준,314056
한식,전준수명품청기와감자탕,다니엘푸드,638225
한식,시골애,(주)시골애,451594
한식,도리명가,D.RHOLDINGS,251883
한식,명장복집&24시명장복국,명장복집,413800
한식,대구안지랑막창,원가네푸드,214784
한식,월수금,월수금,264051
한식,대관령양푼이동태찌개,대관령푸드,223534
한식,명품코다리,류재열의명품코다리찜,192810
한식,다시오고싶은집 이명숙 양평해장국,조이식품,252711
한식,논골집,정준유통,489320
한식,대박통,대박통,219182
한식,남다른대구막창,푸드로,200390
한식,시골통돼지볶음,코아FS,279316
한식,밥FULL,CooperativeF&C(쿠퍼레이티브에프앤씨),148977
한식,백청우칼국수,백청우칼국수,355505
한식,어죽이네철렵국,어죽이네철렵국,187145
한식,더만족,더만족,435247
한식,만복한쭈꾸미낙지볶음,만복이쭈꾸미낙지볶음,979319
한식,화성옥,화성옥,274293
한식,박수근네온천골,온천골푸드,248230
한식,현대옥,현대옥프랜차이즈,392466
한식,망향비빔국수,블루밀,604151
한식,쿡친,마시굿,124489
한식,갈비배달도시락 스트릿테이블,햇잎푸드,125721
한식,햇잎갈비,햇잎푸드,319011
한식,용추골미궁순대,칠연푸드시스템,204196
한식,쭈꾸쭈꾸아,쭈꾸쭈꾸아,269594
한식,진성아구찜,진성,285049
한식,서민반찬,서민반찬,103662
한식,콩시루,시루유통,214651
한식,채돈이,채돈이,278913
한식,닥치고곱창,닥치고곱창,37471
한식,청기와뼈다귀해장국,청기와뼈다귀해장국,680519
한식,족발쌀롱,족발쌀롱,227663
한식,가얏골감자탕,지앤지푸드,196917
한식,한동길전통감자탕,한동길식품,355645
한식,큰돈쪽쪽갈비,큰돈쪽쪽갈비,276000
한식,고봉민김밥人,케이비엠,201903
한식,하수련주왕산삼계탕,주왕산삼계탕부산경남본부,279651
한식,단물곤물,단물곤물,191890
한식,만나고쪽갈비가,맛있는에프앤비(F&B),251113
한식,대장부,엠투(M2)컴퍼니,451899
한식,약초마을,약초마을YCM,351000
한식,본건강한상,본푸드서비스(주),302028
한식,팔백집,(주)길품에프엔비,378052
한식,한고집복국,한고집,259273
한식,수김밥,손수푸드,290581
한식,양마니순대곱창,이수식품,116621
한식,삼겹촌놈,솔담,28154
한식,개성집,유황F&S,506000
한식,화덕초대파불고기,프랜차이즈새늘,335857
한식,육시리,티티씨에프,687186
한식,혼밥대장,(주)원더파트너스,117640
한식,강순자옛맛김치찌개,강푸드,290265
한식,나이스투미츄,아이에스크리에이티브,383377
한식,덕뽀리,씨에이치푸드,109096
한식,통뼈감자탕,(주)명가,196393
한식,더도이종가집돼지국밥,(주)더도이종가집,1469546
한식,통큰낙지,골든코리아,402981
한식,불끈낙지,예스람,368742
한식,성경만두요리전문점,(주)성경에프앤에스,370367
한식,바담코다리네,바담푸드(주),437316
한식,곤지암 한우 소머리국밥,(주)서민상회,180969
한식,모두의만족,㈜두빛,318991
한식,홍익궁중전통육개장,(주)홍익푸드,345845
한식,바우네나주곰탕,(주)지에프포유,318022
한식,메밀골동해막국수,(주)해살이뜰,120227
한식,어머나생고기,(주)스타프렌차이즈,456307
한식,예향정,"(주)디케이코리아(D.KKOREACo.,LTD)",438950
한식,마통삼(마스터통삼겹),지에이치컴퍼니,139378
한식,정가대박집,(주)정웅,643861
